============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 12:18:06
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 447
  General (Re!=0, Im!=0): 60
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 303

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      1.4198235646679285e+00     -9.4236604382098252e-06
      1.4198274119835219e+00     -9.1168801339159998e-06
      1.4198311349369259e+00     -8.8232656238574313e-06
      1.4198347388257953e+00     -8.5421185149872296e-06
      1.4198382286689195e+00     -8.2727843831278109e-06
      1.4198416092236386e+00     -8.0146495791012728e-06
      1.4198448850020025e+00     -7.7671382972027797e-06
      1.4198480602857781e+00     -7.5297098820363607e-06
      1.4198511391403972e+00     -7.3018563521422604e-06
      1.4198541254279293e+00     -7.0831001209911408e-06
      1.4198570228191563e+00     -6.8729918978340605e-06
      1.4198598348048197e+00     -6.6711087526055540e-06
      1.4198625647061045e+00     -6.4770523306039877e-06
      1.4198652156844171e+00     -6.2904472040395798e-06
      1.4198677907505146e+00     -6.1109393487643043e-06
      1.4198702927730276e+00     -5.9381947355953196e-06
      1.4198727244864304e+00     -5.7718980266288186e-06
      1.4198750884984919e+00     -5.6117513678265242e-06
      1.4198773872972494e+00     -5.4574732699535501e-06
      1.4198796232575397e+00     -5.3087975706635844e-06
      1.4198817986471164e+00     -5.1654724711738761e-06
      1.4198839156323881e+00     -5.0272596415558465e-06
      1.4198859762837981e+00     -4.8939333891940482e-06
      1.4198879825808770e+00     -4.7652798854424872e-06
      1.4198899364169850e+00     -4.6410964459383220e-06
      1.4198918396037707e+00     -4.5211908604233228e-06
      1.4198936938753617e+00     -4.4053807682773303e-06
      1.4198955008923062e+00     -4.2934930762890427e-06
      1.4198972622452852e+00     -4.1853634154810272e-06
      1.4198989794586054e+00     -4.0808356340708681e-06
      1.4199006539934917e+00     -3.9797613238914429e-06
      1.4199022872511908e+00     -3.8819993778127951e-06
      1.4199038805758970e+00     -3.7874155759080776e-06
      1.4199054352575144e+00     -3.6958821982883873e-06
      1.4199069525342636e+00     -3.6072776626977953e-06
      1.4199084335951428e+00     -3.5214861851118717e-06
      1.4199098795822556e+00     -3.4383974617220045e-06
      1.4199112915930083e+00     -3.3579063708149318e-06
      1.4199126706821905e+00     -3.2799126931733236e-06
      1.4199140178639433e+00     -3.2043208497299045e-06
      1.4199153341136199e+00     -3.1310396553054254e-06
      1.4199166203695512e+00     -3.0599820873505715e-06
      1.4199178775347159e+00     -2.9910650686943510e-06
      1.4199191064783232e+00     -2.9242092633773423e-06
      1.4199203080373153e+00     -2.8593388847179349e-06
      1.4199214830177909e+00     -2.7963815148239730e-06
      1.4199226321963556e+00     -2.7352679348214519e-06
      1.4199237563214062e+00     -2.6759319651266114e-06
      1.4199248561143472e+00     -2.6183103151382788e-06
      1.4199259322707483e+00     -2.5623424417740459e-06
      1.4199269854614440e+00     -2.5079704163171222e-06
      1.4199280163335790e+00     -2.4551387990808068e-06
      1.4199290255116024e+00     -2.4037945214347343e-06
      1.4199300135982127e+00     -2.3538867747715938e-06
      1.4199309811752590e+00     -2.3053669060251645e-06
      1.4199319288045977e+00     -2.2581883193803630e-06
      1.4199328570289087e+00     -2.2123063838438133e-06
      1.4199337663724727e+00     -2.1676783463692704e-06
      1.4199346573419140e+00     -2.1242632502562266e-06
