============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 18:00:06
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 396
  General (Re!=0, Im!=0): 117
  Purely imaginary (Re~0): 80
  Purely real (Im~0): 199

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      3.0023146411677826e+00      1.1530014150747670e-04
      2.9989367949432015e+00     -1.0169260183507536e-04
      2.9989177623275376e+00     -1.0444283347288584e-04
      2.9988982157417032e+00     -1.0729295878138869e-04
      2.9988781365746044e+00     -1.1024754639643687e-04
      3.0044278320277420e+00     -1.1038049002896634e-04
      2.9988575053680089e+00     -1.1331141752735805e-04
      2.9988363017700141e+00     -1.1648966236959253e-04
      2.9988145044855203e+00     -1.1978765774493329e-04
      2.9987920912234824e+00     -1.2321108607349875e-04
      2.9987690386406998e+00     -1.2676595579144665e-04
      2.9987453222818856e+00     -1.3045862333935666e-04
      3.0046549700435432e+00     -1.3227827117789399e-04
      2.9987209165157340e+00     -1.3429581685828586e-04
      2.9986957944666695e+00     -1.3828466174387573e-04
      2.9986699279419553e+00     -1.4243270822370991e-04
      2.9986432873537878e+00     -1.4674796113956360e-04
      2.9986158416359912e+00     -1.5123891213444151e-04
      2.9985875581548669e+00     -1.5591457446459284e-04
      2.9985584026137468e+00     -1.6078452067926665e-04
      2.9985283389507194e+00     -1.6585892343611407e-04
      2.9984973292289809e+00     -1.7114859974817371e-04
      3.0048907566226206e+00     -1.7572322750027000e-04
      2.9984653335191980e+00     -1.7666505898965927e-04
      2.9984323097732060e+00     -1.8242055502271941e-04
      2.9983982136883194e+00     -1.8842814284642960e-04
      2.9983629985614484e+00     -1.9470174021304703e-04
      2.9983266151321373e+00     -2.0125619470562564e-04
      2.9982890114135672e+00     -2.0810735682615518e-04
      2.9982501325104560e+00     -2.1527215970526414e-04
      2.9982099204226897e+00     -2.2276870611413521e-04
      2.9981683138334025e+00     -2.3061636353768829e-04
      3.0051421636739275e+00     -2.3767383561152424e-04
      2.9981252478800884e+00     -2.3883586815651492e-04
      2.9980806539071869e+00     -2.4744943868490493e-04
      2.9980344591984158e+00     -2.5648090112522014e-04
      2.9979865866869506e+00     -2.6595582562671935e-04
      2.9979369546413408e+00     -2.7590167678189447e-04
      2.9978854763248366e+00     -2.8634797885796409e-04
      2.9978320596255319e+00     -2.9732649764830878e-04
      2.9977766066544587e+00     -3.0887144084172901e-04
      2.9977190133084424e+00     -3.2101967905041808e-04
      2.9976591687941703e+00     -3.3381098991510256e-04
      2.9975969551095214e+00     -3.4728832802330693e-04
      2.9975322464777507e+00     -3.6149812374049038e-04
      2.9974649087296097e+00     -3.7649061447129746e-04
      2.9973947986279064e+00     -3.9232021234810550e-04
      2.9973217631283466e+00     -4.0904591289671457e-04
      2.9972456385697615e+00     -4.2673174986655515e-04
      2.9971662497859786e+00     -4.4544730214953165e-04
      2.9970834091306457e+00     -4.6526825956458973e-04
      2.9969969154052110e+00     -4.8627705527448726e-04
      2.9969065526790382e+00     -5.0856357375109748e-04
      2.9968120889892118e+00     -5.3222594454455725e-04
      2.9967132749059684e+00     -5.5737143367395978e-04
      2.9966098419478349e+00     -5.8411744628416304e-04
      2.9965015008284444e+00     -6.1259265635397076e-04
      2.9963879395145390e+00     -6.4293828175485839e-04
      2.9962688210718871e+00     -6.7530952591827542e-04
      2.9961437812725902e+00     -7.0987721086015945e-04
      2.9960124259335452e+00     -7.4682963043898635e-04
      2.9958743279515017e+00     -7.8637465761663135e-04
      2.9957290239951710e+00     -8.2874214530594147e-04
      2.9955760108090579e+00     -8.7418666731663760e-04
      2.9954147410769507e+00     -9.2299065418690966e-04
      2.9952446187851858e+00     -9.7546798860109231e-04
      2.9950649940166807e+00     -1.0319681370013075e-03
      2.9948751570960495e+00     -1.0928809083454996e-03
      2.9946743319936719e+00     -1.1586419482959725e-03
      2.9944616688819381e+00     -1.2297390981275103e-03
      2.9942362357197569e+00     -1.3067197731811890e-03
      2.9939970087212071e+00     -1.3901995468378258e-03
      2.9937428615404467e+00     -1.4808721641037556e-03
      2.9934725529769435e+00     -1.5795212557126112e-03
      2.9931847129719276e+00     -1.6870340813372857e-03
      2.9928778266277569e+00     -1.8044177018666865e-03
      2.9925502159354056e+00     -1.9328180693073945e-03
      2.9922000188401654e+00     -2.0735426333211319e-03
      2.9918251652102188e+00     -2.2280872016510367e-03
      2.9914233491950122e+00     -2.3981679654443543e-03
      2.9909919973680164e+00     -2.5857598198211324e-03
      2.9905282319387498e+00     -2.7931423881795495e-03
      2.9900288281887417e+00     -3.0229555130840565e-03
      2.9894901651317887e+00     -3.2782664302334584e-03
      2.9889081682164380e+00     -3.5626514257146350e-03
      2.9882782426738363e+00     -3.8802955317552962e-03
      2.9875951958625819e+00     -4.2361147981285069e-03
      2.9868531466702239e+00     -4.6359069607648500e-03
      2.9860454196960746e+00     -5.0865380192473336e-03
      2.9851644215625339e+00     -5.5961744728680891e-03
      2.9842014962881307e+00     -6.1745739480771342e-03
      2.9831467562208291e+00     -6.8334509544159738e-03
      2.9819888846076155e+00     -7.5869399208932063e-03
      2.9807149055273836e+00     -8.4521850452286863e-03
      2.9793099167477322e+00     -9.4500966336063807e-03
      2.9777567812701706e+00     -1.0606327682454980e-02
      2.9760357742198176e+00     -1.1952544173152968e-02
      2.9741241838459387e+00     -1.3528090483847696e-02
      2.9719958696125293e+00     -1.5382191373515749e-02
      2.9696207881444172e+00     -1.7576890202100230e-02
      2.9669645116088077e+00     -2.0191008953374501e-02
      2.9639877870797413e+00     -2.3325544628871490e-02
      2.9606462265568179e+00     -2.7111114220008208e-02
      2.9568902876493852e+00     -3.1718370339525764e-02
      2.9526658256451714e+00     -3.7372808637764307e-02
      2.9479157067121800e+00     -4.4376217267022323e-02
      2.9425833393215970e+00     -5.3138447094067502e-02
      2.9366196397898299e+00     -6.4225748373343647e-02
      2.9299961602731415e+00     -7.8436765551688117e-02
      2.9227294075128620e+00     -9.6926973845442896e-02
      2.9149258850401658e+00     -1.2142309903449347e-01
      2.9068664376631879e+00     -1.5461734970311750e-01
      2.8991664806365449e+00     -2.0095571328552064e-01
      2.8930787778432143e+00     -2.6839992054074119e-01
      2.8909883177598230e+00     -3.7301924591819596e-01
      2.8961410649649588e+00     -5.5394906759447249e-01
      2.8910042994395080e+00     -9.4123247246572816e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      2.9989553313963868e+00     -9.9037932525358413e-05
      2.9989733887325150e+00     -9.6474717259509638e-05
      2.9989909832734436e+00     -9.3999057542414361e-05
      2.9990081306539027e+00     -9.1607252291378238e-05
