============================================================
QNM Convergence Report
============================================================
Date: 2026-02-13 15:59:38
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 476
  General (Re!=0, Im!=0): 39
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 353

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      8.0126603437629906e-01      8.5616966995769690e-04
      8.0119516443275862e-01      6.8457546612675567e-04
      8.0111761046536045e-01      5.4213049457124511e-04
      8.0103774464196875e-01      4.2512443020950293e-04
      8.0095848421419158e-01      3.2957518344818907e-04
      8.0088216026277848e-01      2.5278098019365788e-04
      8.0080936847947237e-01      1.8993206093328082e-04
      8.0074282939315611e-01      1.4272230906464336e-04
      8.0055264530620751e-01     -1.0072276439107652e-04
      7.9914295008477398e-01     -1.0345881653094644e-04
      7.9903561076483964e-01     -1.2353768662691505e-04
      8.0059910074019935e-01     -1.3000643606256385e-04
      7.9890694409533147e-01     -1.4913476466927531e-04
      8.0064914622685990e-01     -1.6637120904919816e-04
      7.9875095809103569e-01     -1.8227024125094224e-04
      8.0070261275792665e-01     -2.1125539072450110e-04
      7.9855942254492851e-01     -2.2591366337985577e-04
      8.0075910482636747e-01     -2.6634278784951006e-04
      7.9832079856356120e-01     -2.8454304026793081e-04
      8.0081791786653589e-01     -3.3357065410586273e-04
      7.9801852863341638e-01     -3.6511007976550793e-04
      8.0087792740040054e-01     -4.1512763545695328e-04
      7.9762821807327755e-01     -4.7877163195573965e-04
      8.0093745778543846e-01     -5.1342650064629383e-04
      8.0099412666925829e-01     -6.3104248581404682e-04
      7.9711282085200219e-01     -6.4413457607269788e-04
      8.0104467071177154e-01     -7.7060264652339147e-04
      7.9641407612940929e-01     -8.9365181829369254e-04
      8.0108476035814780e-01     -9.3461060525524078e-04
      7.9543654647832929e-01     -1.2869917102478186e-03
      7.9401619457984773e-01     -1.9409813914753062e-03
      7.9185431300287656e-01     -3.1024278732653663e-03
      7.8836630798796059e-01     -5.3439330394150645e-03
      7.8228849861756211e-01     -1.0162267390471933e-02
      7.7036498825200672e-01     -2.2162110265574617e-02
      7.3929516671034012e-01     -5.9472122315743697e-02
      1.9697169092837280e-01     -4.6344223218375691e-01
      1.7473550576344282e-01     -7.4747569242187628e-01
      1.6292740189362995e-01     -1.0163431994922645e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      7.9923340491360229e-01     -8.7492344496747503e-05
      7.9931032376629663e-01     -7.4640047728708102e-05
      7.9937626774533777e-01     -6.4180170740741626e-05
      7.9943322190673849e-01     -5.5582268948829750e-05
      7.9948274349928949e-01     -4.8450693504717539e-05
      7.9952606767247025e-01     -4.2486341301217553e-05
      7.9956418400805218e-01     -3.7460300620837330e-05
      7.9959789270400672e-01     -3.3195394164286656e-05
      7.9962784635122608e-01     -2.9553057970428252e-05
      7.9965458136585732e-01     -2.6423884218868691e-05
      7.9967854189793341e-01     -2.3720717554937550e-05
      7.9970009820205967e-01     -2.1373555740976858e-05
      7.9971956088629359e-01     -1.9325741627334172e-05
      7.9973719206134120e-01     -1.7531090328416281e-05
      7.9975321413612099e-01     -1.5951701231483867e-05
      7.9976781680996845e-01     -1.4556276705680954e-05
      7.9978116267136223e-01     -1.3318819358926394e-05
      7.9979339171129216e-01     -1.2217614681687272e-05
      7.9980462498491667e-01     -1.1234430688033442e-05
      7.9981496760012838e-01     -1.0353883884824348e-05
      7.9982451117063391e-01     -9.5629337016674820e-06
      7.9983333584033445e-01     -8.8504768488860830e-06
      7.9984151196244435e-01     -8.2070199371093665e-06
      7.9984910149897082e-01     -7.6244137849618392e-06
      7.9985615919248720e-01     -7.0956366485703634e-06
      7.9986273355153548e-01     -6.6146164740775226e-06
      7.9986886768275356e-01     -6.1760844493830603e-06
      7.9987459999635369e-01     -5.7754537923062389e-06
      7.9987996480649592e-01     -5.4087189889430673e-06
      7.9988499284406400e-01     -5.0723716831706786e-06
      7.9988971169613943e-01     -4.7633301861130219e-06
      7.9989414618390120e-01     -4.4788801749998748e-06
      7.9989831868861039e-01     -4.2166246231706158e-06
      7.9990224943366617e-01     -3.9744413763077937e-06
      7.9990595672936748e-01     -3.7504470865298996e-06
      7.9990945718590722e-01     -3.5429664526337196e-06
      7.9991276589922256e-01     -3.3505059045024974e-06
      7.9991589661358076e-01     -3.1717310224569554e-06
      7.9991886186416961e-01     -3.0054471058388186e-06
      7.9992167310245166e-01     -2.8505824053828240e-06
      7.9992434080662178e-01     -2.7061736156440641e-06
      7.9992687457915723e-01     -2.5713532905855507e-06
      7.9992928323315338e-01     -2.4453389003001467e-06
      7.9993157486889521e-01     -2.3274232920413129e-06
      7.9993375694190527e-01     -2.2169663560972466e-06
      7.9993583632353460e-01     -2.1133877280229393e-06
      7.9993781935501707e-01     -2.0161603845145371e-06
      7.9993971189577917e-01     -1.9248050117112907e-06
      7.9994151936669178e-01     -1.8388850427021533e-06
      7.9994324678886264e-01     -1.7580022761121475e-06
      7.9994489881848330e-01     -1.6817930003482620e-06
      7.9994647977818589e-01     -1.6099245588037436e-06
      7.9994799368530101e-01     -1.5420923003869054e-06
      7.9994944427736336e-01     -1.4780168674297701e-06
      7.9995083503516595e-01     -1.4174417795682960e-06
