============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 12:38:27
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 499
  General (Re!=0, Im!=0): 3
  Purely imaginary (Re~0): 86
  Purely real (Im~0): 410

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.1236105649688380e-01     -9.6823028935690725e-02
      8.4902634386372577e-02     -3.4672761038283983e-01
      7.5178659794254366e-02     -6.0063245402319076e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      9.9451833607841905e-02     -1.5341096110419676e-05
      9.9532511285989209e-02      4.5571287041853781e-06
      9.9791406080987521e-02      2.6295939041059161e-06
      9.9867748477224294e-02     -1.8783699097319767e-06
      9.9905839715550906e-02      1.2839935195353017e-05
      9.9913731536423647e-02     -2.9666827854089280e-05
      9.9929211951966482e-02      4.6740619486183552e-05
      9.9942192330088400e-02     -5.4591080783740098e-07
      9.9943344106535770e-02     -5.4142681548157278e-05
      9.9960921558119836e-02      5.9281694884494635e-05
      9.9967779644271268e-02     -2.2760244217678133e-07
      9.9973333099754730e-02     -5.9151043245153345e-05
      9.9979497225357206e-02     -1.1563309354118065e-07
      9.9985817921973905e-02     -6.6554634757899033e-08
      9.9987013057745641e-02      5.6647759145478252e-05
      9.9989610302451334e-02     -4.1744166864594369e-08
      9.9992062664975762e-02     -2.7879366207722312e-08
      9.9993739221992201e-02     -1.9532934989613748e-08
      9.9994935740938790e-02     -1.4211423790792226e-08
      9.9995385157845590e-02     -5.2623040284417628e-05
      9.9995819397142346e-02     -1.0659840029472777e-08
      9.9996490460328824e-02     -8.1995394192125777e-09
      9.9997012029792456e-02     -6.4416359599363554e-09
      9.9997425421296707e-02     -5.1523594476577388e-09
      9.9997758605210013e-02     -4.1854187183492956e-09
      9.9998031063750173e-02     -3.4460745116253544e-09
      9.9998256704279656e-02     -2.8711318254811883e-09
      9.9998445669477506e-02     -2.4173361755353851e-09
      9.9998605497148771e-02     -2.0544024085699628e-09
