============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 18:10:50
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 502
  General (Re!=0, Im!=0): 12
  Purely imaginary (Re~0): 83
  Purely real (Im~0): 407

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      4.8680375196030301e-01     -9.5674581470046954e-02
      4.6546975656824197e-01     -2.9326347507916811e-01
      4.3066477411230231e-01     -5.0646406706345526e-01
      3.9337560968358409e-01     -7.3676525722139818e-01
      3.6074816249663277e-01     -9.7915073241096184e-01
      3.3443443324163469e-01     -1.2279495276720971e+00
      3.1351590601046619e-01     -1.4796582888580674e+00
      2.9667655397048875e-01     -1.7325568861272957e+00
      2.8284970443591007e-01     -1.9858604196781877e+00
      2.7126812039947495e-01     -2.2392187668624963e+00
      2.6139741928262950e-01     -2.4924710799881735e+00
      2.5283544639141375e-01     -2.7455683280435674e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      9.9810305940203736e-02     -1.7175595541730103e-08
      9.9944229750242863e-02     -1.0818684106908513e-18
      9.9957199880260084e-02      1.7204011415213586e-06
      9.9959714964079571e-02     -3.6943972044942299e-06
      9.9965610329758592e-02      1.2860826593250885e-05
      9.9967438840633360e-02     -1.5034792648875251e-05
      9.9968634795438008e-02     -6.5237769627316008e-19
      9.9974582590839203e-02      2.0850779216174351e-05
      9.9976805148958181e-02     -2.2041222820992832e-05
      9.9979933467271603e-02     -3.8356656812294326e-19
      9.9984555955963575e-02      2.4500844687603730e-05
      9.9986069702769534e-02     -2.3798233652590968e-19
      9.9986748336432826e-02     -2.4793603186176182e-05
      9.9989768537371349e-02     -1.5602624145530521e-19
      9.9992168502351902e-02     -1.0722075320615826e-19
      9.9993813460734882e-02     -7.6605983319600388e-20
      9.9993922345620087e-02      2.4837439032496152e-05
      9.9994989804822743e-02     -5.6524830621764937e-20
      9.9995829617813864e-02     -2.4880447860877719e-05
      9.9995859981023213e-02     -4.2845207152048745e-20
      9.9996521697401766e-02     -3.3222502853661648e-20
      9.9997036583223772e-02     -2.6265550958925378e-20
      9.9997445069511720e-02     -2.1116043464797955e-20
      9.9997774572403025e-02     -1.7226196646479256e-20
      9.9998044214873752e-02     -1.4236082427895727e-20
      9.9998267664473173e-02     -1.1903328697739399e-20
      9.9998454899627817e-02     -1.0061467239754285e-20
      9.9998613343072154e-02     -8.5945348172932178e-21
      9.9998748608887189e-02     -7.4212059496054487e-21
      9.9998865006667104e-02     -6.4846879501641030e-21
      9.9998965889033786e-02     -5.7461994552088333e-21
      9.9999053895753490e-02     -5.1807384196502385e-21
      9.9999126901220536e-02      2.4242906762462197e-05
      9.9999131128176114e-02     -4.7743521135332372e-21
      9.9999199275832576e-02     -4.5224194482097529e-21
