============================================================
QNM Convergence Report
============================================================
Date: 2026-04-02 19:39:15
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 414
  General (Re!=0, Im!=0): 70
  Purely imaginary (Re~0): 48
  Purely real (Im~0): 296

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      1.9983900770631142e+00     -2.7282474422305237e-16
      1.9984525929386678e+00     -2.5919907718773219e-16
      1.9985115437972325e+00     -2.4642017159234565e-16
      1.9985671951354982e+00     -2.3442768843327103e-16
      1.9986197882321750e+00     -2.2316584647676151e-16
      1.9986695427466250e+00     -2.1258310278831920e-16
      1.9987166589984773e+00     -2.0263184458431866e-16
      1.9987613199721359e+00     -1.9326809543699678e-16
      1.9988036930834157e+00     -1.8445123763176634e-16
      1.9988439317399769e+00     -1.7614375158079827e-16
      1.9988821767225700e+00     -1.6831097255526428e-16
      1.9989185574101922e+00     -1.6092086454701733e-16
      1.9989531928689643e+00     -1.5394381076063657e-16
      1.9989861928217569e+00     -1.4735242003216497e-16
      1.9990176585132411e+00     -1.4112134834388959e-16
      1.9990476834830417e+00     -1.3522713453427203e-16
      1.9990763542579686e+00     -1.2964804927288539e-16
      1.9991037509728498e+00     -1.2436395637011449e-16
      1.9991299479282532e+00     -1.1935618551155830e-16
      1.9991550140923127e+00     -1.1460741554092387e-16
      1.9991790135529646e+00     -1.1010156745782083e-16
      1.9992020059261104e+00     -1.0582370634464897e-16
      1.9992240467245428e+00     -1.0175995148709903e-16
      1.9992451876918809e+00     -9.7897394003777982e-17
      1.9992654771052549e+00     -9.4224021350799484e-17
      1.9992849600500346e+00     -9.0728648115942959e-17
      1.9993036786695111e+00     -8.7400852563584254e-17
      1.9993216723921043e+00     -8.4230918435673698e-17
      1.9993389781383799e+00     -8.1209781555388648e-17
      1.9993556305098952e+00     -7.8328980818651110e-17
      1.9993716619616750e+00     -7.5580613194504341e-17
      1.9993871029599175e+00     -7.2957292388489483e-17
      1.9994019821263549e+00     -7.0452110853826281e-17
      1.9994163263705480e+00     -6.8058604863624742e-17
      1.9994301610112470e+00     -6.5770722383877505e-17
      1.9994435098878418e+00     -6.3582793512087567e-17
      1.9994563954628159e+00     -6.1489503270784853e-17
      1.9994688389160202e+00     -5.9485866569965470e-17
      1.9994808602315091e+00     -5.7567205179357451e-17
      1.9994924782775969e+00     -5.5729126583105865e-17
      1.9995037108807361e+00     -5.3967504630372392e-17
      1.9995145748937531e+00     -5.2278461952561225e-17
      1.9995250862589307e+00     -5.0658354202875383e-17
      1.9995352600663761e+00     -4.9103756305129958e-17
      1.9995451106080713e+00     -4.7611451105795514e-17
      1.9995546514279705e+00     -4.6178421153374381e-17
      1.9995638953684660e+00     -4.4801844857538416e-17
      1.9995728546135256e+00     -4.3479099125815845e-17
      1.9995815407287678e+00     -4.2207771925161693e-17
      1.9995899646987203e+00     -4.0985690362915436e-17
      1.9995981369614890e+00     -3.9810973284530093e-17
      1.9996060674410365e+00     -3.8682122756222805e-17
      1.9996137655772608e+00     -3.7598177242119742e-17
      1.9996212403540405e+00     -3.6558962498607191e-17
      1.9996285003254046e+00     -3.5565496807741640e-17
      1.9996355536399666e+00     -3.4620639160316575e-17
      1.9996424080637545e+00     -3.3730118487993463e-17
      1.9996490710015560e+00     -3.2904158328453544e-17
      1.9996555495168868e+00     -3.2160028484817457e-17
      1.9996618503506856e+00     -3.1526034624565789e-17
      1.9996679799388219e+00     -3.1047730486176081e-17
      1.9996739444285094e+00     -3.0797553730264296e-17
      1.9996797496936971e+00     -3.0889717913238052e-17
      1.9996854013495111e+00     -3.1503147884459590e-17
      1.9996909047658153e+00     -3.2916685673376506e-17
      1.9996962650799506e+00     -3.5562959047513056e-17
      1.9997014872087080e+00     -4.0110552269034413e-17
      1.9997065758595904e+00     -4.7588976726525678e-17
      1.9997115355414077e+00     -5.9578189150815966e-17
      1.9997163705742536e+00     -7.8495198703281545e-17
      1.9997210850989002e+00     -1.0802633570766366e-16
      1.9997256830856553e+00     -1.5377751155137840e-16
      1.9997301683427104e+00     -2.2424992494740996e-16
      1.9997345445240173e+00     -3.3230049012440658e-16
      1.9997388151367224e+00     -4.9732254503559784e-16
      1.9997429835481844e+00     -7.4849444531783595e-16
      1.9997470529926074e+00     -1.1296078721332643e-15
      1.9997510265773049e+00     -1.7062278450893443e-15
      1.9997549072886278e+00     -2.5762868672943184e-15
      1.9997586979975688e+00     -3.8857257993859823e-15
      1.9997624014650668e+00     -5.8515350103592746e-15
      1.9997660203470298e+00     -8.7956228104393437e-15
      1.9997695571990919e+00     -1.3194489263092476e-14
      1.9997730144811214e+00     -1.9751918412514237e-14
      1.9997763945614944e+00     -2.9505112403916488e-14
      1.9997796997211463e+00     -4.3979287196567339e-14
      1.9997829321574188e+00     -6.5412305060961155e-14
      1.9997860939877083e+00     -9.7080229298583756e-14
      1.9997891872529334e+00     -1.4376784468999201e-13
      1.9997922139208266e+00     -2.1244667732047337e-13
      1.9997951758890653e+00     -3.1324885447111866e-13
      1.9997980749882491e+00     -4.6086086966183426e-13
      1.9998009129847349e+00     -6.7651027096480312e-13
      1.9998036915833375e+00     -9.9078451441664930e-13
      1.9998064124299062e+00     -1.4476093267825275e-12
      1.9998090771137915e+00     -2.1098285216022382e-12
      1.9998116871702059e+00     -3.0669716194516973e-12
      1.9998142440825031e+00     -4.4459691038007965e-12
      1.9998167492843846e+00     -6.4257676600445966e-12
      1.9998192041620642e+00     -9.2569803625333847e-12
      1.9998216100564208e+00     -1.3287814934378283e-11
      1.9998239682651893e+00     -1.8997428902610312e-11
      1.9998262800452613e+00     -2.7037328713191563e-11
      1.9998285466152017e+00     -3.8280056926557978e-11
      1.9998307691581452e+00     -5.3871554240139763e-11
      1.9998329488253224e+00     -7.5278327411937607e-11
      1.9998350867405972e+00     -1.0431188866857591e-10
      1.9998371840066111e+00     -1.4310060594300211e-10
      1.9998392417134609e+00     -1.9396648949142910e-10
      1.9998412609513589e+00     -2.5916691388156775e-10
      1.9998432428295729e+00     -3.4052931310018716e-10
      1.9998451885053050e+00     -4.3928809911052954e-10
      1.9998470992284314e+00     -5.5733747070343725e-10
      1.9998489764117535e+00     -7.0375658016281274e-10
      1.9998508217424400e+00     -9.1786315584356072e-10
      1.9998526373585919e+00     -1.3403653767136564e-09
      1.9998544261176316e+00     -2.4188617603108913e-09
      1.9998561919298403e+00     -5.4713800574114053e-09
      1.9998579397819374e+00     -1.4083873888095235e-08
      1.9998596737498706e+00     -3.6577673522094999e-08
      1.9998613901018247e+00     -8.5726916835864325e-08
      1.9998616251153130e+00      5.0545790510994359e-06
      1.9998630731149185e+00     -1.6689744487940195e-07
      1.9998647099159725e+00     -2.6930987467634563e-07
      1.9998663009521696e+00     -3.7939467204792414e-07
      1.9998678522912570e+00     -4.9004243039161746e-07
      1.9998684083121119e+00      2.6384834914018784e-05
      1.9998693694271699e+00     -5.9878122696900926e-07
      1.9998708561956116e+00     -7.0502942494190501e-07
      1.9998723151672115e+00     -8.0882571195921249e-07
      1.9998737481073399e+00     -9.1037861954928112e-07
      1.9998751562873487e+00     -1.0099262986133979e-06
      1.9998765406752619e+00     -1.1077008090830559e-06
      1.9998779020506852e+00     -1.2039248023252556e-06
      1.9998792410743420e+00     -1.2988168322276763e-06
      1.9998805583304944e+00     -1.3925981210105706e-06
      1.9998818543530283e+00     -1.4854991043451068e-06
      1.9998824057597435e+00      4.5451997439722812e-05
      1.9998831296416482e+00     -1.5777658051124348e-06
      1.9998843846720724e+00     -1.6696665883498022e-06
      1.9998856199026303e+00     -1.7615000220493433e-06
      1.9998868357787516e+00     -1.8536047293757271e-06
      1.9998880327363118e+00     -1.9463724094152370e-06
      1.9998892112044893e+00     -2.0402657457411978e-06
      1.9998903716086458e+00     -2.1358439046613396e-06
      1.9998915143737253e+00     -2.2338001219889885e-06
      1.9998926399287786e+00     -2.3350192827936605e-06
      1.9998937487135486e+00     -2.4406702104246480e-06
      1.9998948411886894e+00     -2.5523619957963044e-06
      1.9998959178525204e+00     -2.6724279729507439e-06
      1.9998969792696950e+00     -2.8044911314160017e-06
      1.9998980261207264e+00     -2.9547418290354516e-06
      1.9998990592746528e+00     -3.1354236150791644e-06
      1.9999000797586493e+00     -3.3779608907863798e-06
      1.9999027940664895e+00      6.0566814079446611e-05
      1.9999281987163582e+00      6.9995221700055541e-05
      1.9999565210091530e+00      7.2044951745428809e-05
      1.9999846997625179e+00      6.5326854675037914e-05
      2.0000000000144693e+00     -2.7354311315917373e-12
      2.0000000011585355e+00     -2.1631074853241952e-10
      2.0000000087406633e+00     -1.5936117789531594e-09
      2.0000000325152207e+00     -5.7347489811868721e-09
      2.0000000853409272e+00     -1.4457875323341632e-08
      2.0000001817351869e+00     -2.9433098643877545e-08
      2.0000003366762544e+00     -5.1983751129841053e-08
      2.0000005647984382e+00     -8.3046789823781858e-08
      2.0000008799654680e+00     -1.2323175717306209e-07
      2.0000012951297905e+00     -1.7291887496464578e-07
      2.0000018223747782e+00     -2.3235928838506373e-07
      2.0000024730578576e+00     -3.0176177190034418e-07
      2.0000032579999996e+00     -3.8136344700600719e-07
      2.0000041876896990e+00     -4.7148840420020786e-07
      2.0000048869767415e+00      7.4645412565478982e-07
      2.0000052724848367e+00     -5.7260053424233619e-07
      2.0000065228046924e+00     -6.8535765610839561e-07
      2.0000074770995546e+00      9.9779922314088386e-07
      2.0000079493083920e+00     -8.1067442934484079e-07
      2.0000084880401534e+00      4.9324232104118745e-05
      2.0000095630563615e+00     -9.4980192430935495e-07
      2.0000102201722192e+00      1.2405266146874028e-06
      2.0000113756482243e+00     -1.1044316091564696e-06
      2.0000131825217000e+00      1.4886659415143464e-06
      2.0000133993241378e+00     -1.2768292298394457e-06
      2.0000156470075425e+00     -1.4699962312282871e-06
      2.0000163875211872e+00      1.7500868036534297e-06
      2.0000181322601076e+00     -1.6878381834885138e-06
      2.0000198483475344e+00      2.0323777145429935e-06
      2.0000208691256929e+00     -1.9352887183241966e-06
      2.0000223960698196e+00      2.5219364389066508e-05
      2.0000235756284028e+00      2.3447619794528245e-06
      2.0000238718776293e+00     -2.2183044222543125e-06
      2.0000271547600081e+00     -2.5436469212478460e-06
      2.0000275809194541e+00      2.6989390091344153e-06
      2.0000307318893209e+00     -2.9184489739044863e-06
      2.0000318792677643e+00      3.1087894040103040e-06
      2.0000346174652068e+00     -3.3497084238419211e-06
      2.0000364908493200e+00      3.5886901189931999e-06
      2.0000388262827760e+00     -3.8439448151341643e-06
      2.0000414408135354e+00      4.1511608769623668e-06
      2.0000433743582562e+00     -4.4071700160552651e-06
      2.0000467573941001e+00      4.8054719553826158e-06
      2.0000482794474430e+00     -5.0451306280092266e-06
      2.0000524697771271e+00      5.5581191998986055e-06
      2.0000535613604926e+00     -5.7636588686631987e-06
      2.0000586071246018e+00      6.4144335917112048e-06
      2.0000592421129459e+00     -6.5689903070059494e-06
      2.0000651988405895e+00      7.3800775255871916e-06
      2.0000653460037303e+00     -7.4679930490206752e-06
      2.0000718996922204e+00     -8.4683173983871098e-06
      2.0000722753890061e+00      8.4618762912706854e-06
      2.0000789323102972e+00     -9.5784968768155072e-06
      2.0000798691077484e+00      9.6681068007346629e-06
      2.0000864756201966e+00     -1.0808028195659753e-05
      2.0000880148393470e+00      1.1008532868661492e-05
      2.0000945642179588e+00     -1.2167447701449551e-05
      2.0000967504066636e+00      1.2494380628506309e-05
      2.0001032357800357e+00     -1.3668413402422194e-05
      2.0001061170094214e+00      1.4138334955727421e-05
      2.0001125313519914e+00     -1.5323796565710537e-05
      2.0001161596020971e+00      1.5954576272725831e-05
      2.0001224956805546e+00     -1.7147784253388725e-05
      2.0001269272908240e+00      1.7958854486261807e-05
      2.0001331775926330e+00     -1.9155992944123569e-05
      2.0001384737718531e+00      2.0168592003288521e-05
      2.0001446304270813e+00     -2.1365592786155269e-05
      2.0001508578269216e+00      2.2603008673969790e-05
      2.0001569125271521e+00     -2.3795441592228179e-05
      2.0001641438887914e+00      2.5283263210134249e-05
      2.0001700878039541e+00     -2.6466227164254320e-05
      2.0001784026910836e+00      2.8232606631504412e-05
      2.0001842263840537e+00     -2.9400615763681333e-05
      2.0001937120193163e+00      3.1476543322879019e-05
      2.0001994053579883e+00     -3.2623403383217633e-05
      2.0002101575844393e+00      3.5042994346772910e-05
      2.0002157096512581e+00     -3.6161664764483764e-05
      2.0002278340464290e+00      3.8962455711993373e-05
      2.0002332330459787e+00     -4.0044892627770729e-05
      2.0002468462243703e+00      4.3268141182933176e-05
      2.0002520793906657e+00     -4.4305116037210714e-05
      2.0002673105422417e+00      4.7996094609865399e-05
      2.0002723640491467e+00     -4.8976981819534202e-05
      2.0002893567784601e+00      5.3185250206580721e-05
      2.0002942156597210e+00     -5.4097775993979463e-05
      2.0003131302160075e+00      5.8877410159710522e-05
      2.0003177783067971e+00     -5.9707352760142748e-05
      2.0003387943352395e+00      6.5117097069320850e-05
      2.0003432142568309e+00     -6.5847926607641942e-05
      2.0003665342655159e+00      7.1951224695652495e-05
      2.0003707074926620e+00     -7.2563670027526493e-05
      2.0003965613376589e+00      7.9428518807787406e-05
      2.0004004684222938e+00     -7.9900051952912232e-05
      2.0004291193020634e+00      8.7598627248094052e-05
      2.0004327403930411e+00     -8.7902874229616175e-05
      2.0004644931869509e+00      9.6510939646724208e-05
      2.0004678091162029e+00     -9.6617092382931762e-05
      2.0021163478760111e+00      8.4605623322460920e-07

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
     -8.4471105902112791e-69     -2.5729536289138395e+01
     -1.6484570184737806e-68     -2.5982361017801068e+01      2.5282472866267369e-01
      1.8516083271359092e-69     -2.6235324175148509e+01      2.5296315734744113e-01
      6.7117677102792175e-68     -2.6488180272990508e+01      2.5285609784199892e-01
      1.1254573086542571e-67     -2.6740963295596806e+01      2.5278302260629815e-01
     -5.1193919873177711e-68     -2.6993767829811215e+01      2.5280453421440896e-01
     -4.7829205459580676e-67     -2.7246518782487335e+01      2.5275095267612002e-01
     -5.7356082932635870e-67     -2.7499218785586155e+01      2.5270000309881979e-01
      7.1697594264159096e-67     -2.7751905437614923e+01      2.5268665202876761e-01
      2.8517138229279009e-66     -2.8004556060808689e+01      2.5265062319376597e-01
      1.6702691502340465e-66     -2.8257166005722887e+01      2.5260994491419808e-01
     -6.3666080947937976e-66     -2.8509751623595019e+01      2.5258561787213196e-01
     -1.2721086875940476e-65     -2.8762307497628338e+01      2.5255587403331958e-01
      2.9296417822179047e-66     -2.9014828874668638e+01      2.5252137704029920e-01
      3.7946675693117496e-65     -2.9267322813461220e+01      2.5249393879258264e-01
      3.2515793417611147e-65     -2.9519789620402989e+01      2.5246680694176860e-01
     -6.4517549668637223e-65     -2.9772226156555849e+01      2.5243653615286021e-01
     -1.4207611411968092e-64     -3.0024635056061356e+01      2.5240889950550738e-01
      2.7854830742716646e-65     -3.0277018181312233e+01      2.5238312525087636e-01
      3.5525895458977468e-64     -3.0529374101784001e+01      2.5235592047176780e-01
      2.1932069733345455e-64     -3.0781703380044657e+01      2.5232927826065676e-01
     -6.1640472757130282e-64     -3.1034007820251329e+01      2.5230444020667164e-01
     -8.9660844970109365e-64     -3.1286287318024762e+01      2.5227949777343284e-01
      6.8960894145462456e-64     -3.1538541677903346e+01      2.5225435987858447e-01
      2.2112891108080428e-63     -3.1790772057872147e+01      2.5223037996880038e-01
     -1.0244214987753527e-64     -3.2042979139994010e+01      2.5220708212186338e-01
     -4.2148465181992796e-63     -3.2295162753858392e+01      2.5218361386438204e-01
     -1.8030525474324545e-63     -3.2547323355610935e+01      2.5216060175254285e-01
      6.6828492536642369e-63     -3.2799461833612469e+01      2.5213847800153388e-01
      5.6942357610410976e-63     -3.3051578426511313e+01      2.5211659289884381e-01
     -9.1281103943217383e-63     -3.3303673183623197e+01      2.5209475711188389e-01
     -1.2010376915884224e-62     -3.3555746720111955e+01      2.5207353648875852e-01
      1.1006115029551586e-62     -3.3807799656287585e+01      2.5205293617563029e-01
      2.0771101790150393e-62     -3.4059832099777182e+01      2.5203244348959686e-01
     -1.2059092415728300e-62     -3.4311844231723008e+01      2.5201213194582550e-01
     -3.1499016268523377e-62     -3.4563836668778585e+01      2.5199243705557706e-01
      1.2640646608199981e-62     -3.4815809879787231e+01      2.5197321100864656e-01
      4.3227180253788305e-62     -3.5067763917119898e+01      2.5195403733266630e-01
     -1.3821734809774671e-62     -3.5319698996433118e+01      2.5193507931322046e-01
     -5.4501008244823306e-62     -3.5571615724303939e+01      2.5191672787082098e-01
      1.7122593711492280e-62     -3.5823514512845122e+01      2.5189878854118319e-01
      6.3337526381973912e-62     -3.6075395347823147e+01      2.5188083497802438e-01
     -2.3823400996647000e-62     -3.6327258395011981e+01      2.5186304718883434e-01
     -6.7281174323561946e-62     -3.6579104287649955e+01      2.5184589263797363e-01
      3.3999714082099829e-62     -3.6830933488562223e+01      2.5182920091226890e-01
      6.3851192863759059e-62     -3.7082745883056383e+01      2.5181239449415926e-01
     -5.1611241617311486e-62     -3.7586320861786973e+01      5.0357497873059032e-01
     -5.6813743021309043e-62     -3.8341565594537755e+01      7.5524473275078208e-01

