============================================================
QNM Convergence Report
============================================================
Date: 2026-04-02 19:35:48
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 429
  General (Re!=0, Im!=0): 71
  Purely imaginary (Re~0): 49
  Purely real (Im~0): 309

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.5014264630155068e+00      8.9688194612813426e-04
      1.5012784151285985e+00      7.5431855675363476e-04
      1.5011483088286990e+00      6.4039590229549915e-04
      1.5010339929019108e+00      5.4824817959470184e-04
      1.5009334121496105e+00      4.7288636216426228e-04
      1.5008447192489998e+00      4.1063355827630191e-04
      1.5007663038708623e+00      3.5873855478449178e-04
      1.5006967731570751e+00      3.1511498923885670e-04
      1.5006349391728584e+00      2.7818306960103949e-04
      1.5005798324093582e+00      2.4671900938020940e-04
      1.5005306460898566e+00      2.1970601286197514e-04
      1.5004866427000945e+00      1.9629033063806492e-04
      1.5004471331732936e+00      1.7580033216514911e-04
      1.5004115054975173e+00      1.5773432615641948e-04
      1.5003792413044570e+00      1.4171824394029639e-04
      1.5015637522988212e+00      1.3975871076829096e-04
      1.5003499108128451e+00      1.2746459956170005e-04
      1.5003231584790206e+00      1.1474402130264714e-04
      1.5002986880601623e+00      1.0336760993359200e-04
      1.5003037563013830e+00     -1.0531520685745169e-04
      1.5003284856898556e+00     -1.1681410179702578e-04
      1.5003555351808064e+00     -1.2967013305772892e-04
      1.5015537422397662e+00     -1.3482403015048917e-04
      1.5003852099478536e+00     -1.4407593902072220e-04
      1.5004178768958685e+00     -1.6026727387735473e-04
      1.5004539793685574e+00     -1.7854269717306983e-04
      1.5004940493339074e+00     -1.9929469916631339e-04
      1.5005387066382498e+00     -2.2305147319627889e-04
      1.5005886356868592e+00     -2.5051163215733562e-04
      1.5006445640082542e+00     -2.8254074808945579e-04
      1.5007073089103369e+00     -3.2015581530363117e-04
      1.5007778736065214e+00     -3.6460086664145058e-04
      1.5008574753230386e+00     -4.1750201512115898e-04
      1.5009475308278695e+00     -4.8100031752952826e-04
      1.5010496820428654e+00     -5.5791678568436174e-04
      1.5011658129394636e+00     -6.5202639386326958e-04
      1.5012980181072777e+00     -7.6845461932048423e-04
      2.2089596113814891e+00     -8.1114380221725985e-02
      2.1974608591238538e+00     -2.4444220978139197e-01
      2.1749113247085115e+00     -4.1104765761931444e-01
      2.1422532878021192e+00     -5.8301863508100848e-01
      2.1009655895689687e+00     -7.6220282165586362e-01
      2.0530194098255166e+00     -9.4998661013969132e-01
      2.0006867170658795e+00     -1.1470850881047003e+00
      1.9462296840893381e+00     -1.3534621885760154e+00
      1.8915925919195447e+00     -1.5684407000090936e+00
      1.8382201944138941e+00     -1.7909463901646123e+00
      1.7870376872127565e+00     -2.0197680894133572e+00
      1.7385408448982498e+00     -2.2537462693612560e+00
      1.6929224408164247e+00     -2.4918694666227403e+00
      1.6501857140708922e+00     -2.7333010843091747e+00
      1.6102271592570214e+00     -2.9773682557659211e+00
      1.5728898416813799e+00     -3.2235362458393482e+00
      1.5379949666935449e+00     -3.4713811247712254e+00
      1.5053594460800195e+00     -3.7205659309737715e+00
      1.4748051542192455e+00     -3.9708215755055827e+00
      1.4461634972603172e+00     -4.2219320945065517e+00
      1.4192774184535211e+00     -4.4737233873077740e+00
      1.3940020238719251e+00     -4.7260545960812674e+00
      1.3702044724739708e+00     -4.9788114485498562e+00
      1.3477634779129581e+00     -5.2319010606662051e+00
      1.3265686153071448e+00     -5.4852478332066452e+00
      1.3065195302371559e+00     -5.7387901986236090e+00
      1.2875251532502627e+00     -5.9924779658229355e+00
      1.2695027789410236e+00     -6.2462703175273386e+00
      1.2523777396597993e+00     -6.5001339463142580e+00
      1.2360814264553812e+00     -6.7540414380515355e+00
      1.2205526668284123e+00     -7.0079724960757952e+00
      1.2057377106404668e+00     -7.2619060787979786e+00
      1.1915774197439819e+00     -7.5158270665684954e+00
      1.1780302237376499e+00     -7.7697392572342387e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4853246320965732e+00     -2.5389753207088553e-26
      1.4876475623179499e+00     -7.9258390401545874e-26
      1.4894685628054223e+00     -1.4802695592456553e-25
      1.4909203437835030e+00     -2.1668525438194994e-25
      1.4920950875079415e+00     -2.7545129028430034e-25
      1.4930582492857631e+00     -3.2010810782071836e-25
      1.4938572395544811e+00     -3.5023623315554435e-25
      1.4945270208813448e+00     -3.6742439115288750e-25
      1.4950937988006250e+00     -3.7403695716226808e-25
      1.4955775070281865e+00     -3.7251516861612580e-25
      1.4959935133308522e+00     -3.6504464332977436e-25
      1.4963538113149453e+00     -3.5343701536664143e-25
      1.4966678667012125e+00     -3.3912221773229214e-25
      1.4969432273210665e+00     -3.2319006182682817e-25
      1.4971859689212035e+00     -3.0644806533512111e-25
      1.4974010251614946e+00     -2.8947936493760970e-25
      1.4975924347981153e+00     -2.7269386003086717e-25
      1.4977635288806732e+00     -2.5637051629751102e-25
      1.4979170739773695e+00     -2.4069100997384745e-25
      1.4980553828062622e+00     -2.2576580733396852e-25
      1.4981804004539705e+00     -2.1165402120765429e-25
      1.4982937721307479e+00     -1.9837832920844132e-25
      1.4983968968331900e+00     -1.8593606313184536e-25
      1.4984909701583917e+00     -1.7430737635505541e-25
      1.4985770186991170e+00     -1.6346120633398555e-25
      1.4986559278556386e+00     -1.5335958731342601e-25
      1.4987284644626540e+00     -1.4396073686242011e-25
      1.4987952953049004e+00     -1.3522123628910953e-25
      1.4988570023518375e+00     -1.2709754502358596e-25
      1.4989140953581128e+00     -1.1954702811489125e-25
      1.4989670223368370e+00     -1.1252862996025553e-25
      1.4990161783056886e+00     -1.0600329283894782e-25
      1.4990619126233231e+00     -9.9934193010812111e-26
      1.4991045351695012e+00     -9.4286847915230766e-26
      1.4991443215722999e+00     -8.9029133723456656e-26
      1.4991815176464656e+00     -8.4131241906647671e-26
      1.4992163431759000e+00     -7.9565595642734145e-26
      1.4992489951486085e+00     -7.5306741092649864e-26
      1.4992796505327370e+00     -7.1331224304284888e-26
      1.4993084686665334e+00     -6.7617461358832839e-26
      1.4993355933223271e+00     -6.4145607067467549e-26
      1.4993611544943113e+00     -6.0897425839817306e-26
      1.4993852699515324e+00     -5.7856167118535789e-26
      1.4994080465906385e+00     -5.5006446886834061e-26
      1.4994295816173320e+00     -5.2334136119330407e-26
      1.4994499635808520e+00     -4.9826256595038006e-26
      1.4994692732819943e+00     -4.7470884175756304e-26
      1.4994875845720212e+00     -4.5257059437174115e-26
      1.4995049650571748e+00     -4.3174705396590232e-26
      1.4995214767213227e+00     -4.1214551990167585e-26
      1.4995371764774197e+00     -3.9368066898935790e-26
      1.4995521166569288e+00     -3.7627392294712487e-26
      1.4995663454450481e+00     -3.5985287065196873e-26
      1.4995799072684888e+00     -3.4435074072720253e-26
      1.4995928431416212e+00     -3.2970591992932691e-26
      1.4996051909760164e+00     -3.1586151252324330e-26
      1.4996169858577382e+00     -3.0276493509716373e-26
      1.4996282602961679e+00     -2.9036753956431782e-26
      1.4996390444476502e+00     -2.7862425348032464e-26
      1.4996493663168275e+00     -2.6749321948872764e-26
      1.4996592519381728e+00     -2.5693540135903314e-26
      1.4996687255399117e+00     -2.4691409653641746e-26
      1.4996778096922589e+00     -2.3739424310024716e-26
      1.4996865254416616e+00     -2.2834131210987116e-26
      1.4996948924325375e+00     -2.1971939791013908e-26
      1.4997029290178199e+00     -2.1148779414402984e-26
      1.4997106523594725e+00     -2.0359475781550536e-26
      1.4997180785199979e+00     -1.9596611881530051e-26
      1.4997252225458511e+00     -1.8848454406193420e-26
      1.4997320985435643e+00     -1.8095202441949011e-26
      1.4997387197493055e+00     -1.7302251606214669e-26
      1.4997450985925047e+00     -1.6408194224565386e-26
      1.4997512467541221e+00     -1.5303610548301024e-26
      1.4997571752200678e+00     -1.3793873968290248e-26
      1.4997628943302259e+00     -1.1534410736215384e-26
      1.4997684138234944e+00     -7.9188314499714036e-27
      1.4997737428792037e+00     -1.8869755637798270e-27
      1.4997788901552460e+00      8.4022562091792068e-27
      1.4997838638232066e+00      2.6124930031212323e-26
      1.4997886716007665e+00      5.6724465270494641e-26
      1.4997933207816148e+00      1.0947143482010060e-25
      1.4997978182630871e+00      2.0005806305179075e-25
      1.4998021705717246e+00      3.5489009916221329e-25
      1.4998063838869324e+00      6.1814907749855138e-25
      1.4998104640628951e+00      1.0633543462263082e-24
      1.4998144166488958e+00      1.8121997539838100e-24
      1.4998182469081704e+00      3.0650985298778548e-24
      1.4998219598354139e+00      5.1504911128707956e-24
      1.4998255601730528e+00      8.6040978442617883e-24
      1.4998290524263762e+00      1.4295773844014215e-23
      1.4998324408776207e+00      2.3631748977508172e-23
      1.4998357295990881e+00      3.8875818344457396e-23
      1.4998389224653721e+00      6.3657573214721554e-23
      1.4998420231647638e+00      1.0377375963285049e-22
      1.4998450352098947e+00      1.6844755953075115e-22
      1.4998479619476797e+00      2.7230105478240836e-22
      1.4998508065686076e+00      4.3843518627217176e-22
      1.4998535721154322e+00      7.0322473973863621e-22
      1.4998562614913025e+00      1.1237620950013790e-21
      1.4998588774673778e+00      1.7893814614537911e-21
      1.4998614226899625e+00      2.8394540031278362e-21
      1.4998638996871936e+00      4.4907978808754276e-21
      1.4998663108753165e+00      7.0797982232389681e-21
      1.4998686585645731e+00      1.1126985174049855e-20
      1.4998709449647325e+00      1.7435831846106846e-20
      1.4998731721902889e+00      2.7243596869415761e-20
      1.4998753422653475e+00      4.2451181732518321e-20
      1.4998774571282201e+00      6.5972750857591522e-20
      1.4998795186357530e+00      1.0226659386065362e-19
      1.4998815285673983e+00      1.5813987028352502e-19
      1.4998834886290542e+00      2.4396666722730318e-19
      1.4998854004566815e+00      3.7552899563985378e-19
      1.4998872656197160e+00      5.7679557418800953e-19
      1.4998890856242884e+00      8.8411086720842995e-19
      1.4998908619162623e+00      1.3525027975456515e-18
      1.4998925958841061e+00      2.0651705929015971e-18
      1.4998942888616031e+00      3.1477422124382905e-18
      1.4998959421304174e+00      4.7896801622040106e-18
      1.4998975569225166e+00      7.2763943298103391e-18
      1.4998991344224675e+00      1.1037383598640912e-17
      1.4999006757696067e+00      1.6718362627211601e-17
      1.4999021820600968e+00      2.5289267123869086e-17
      1.4999036543488755e+00      3.8205914569881349e-17
      1.4999050936515010e+00      5.7651891917255891e-17
      1.4999065009459027e+00      8.6900391268647743e-17
      1.4999078771740424e+00      1.3085538281065460e-16
      1.4999092232434892e+00      1.9686094675758857e-16
      1.4999105400289154e+00      2.9591165489897705e-16
      1.4999118283735171e+00      4.4446291918315011e-16
      1.4999130890903631e+00      6.6713922465083643e-16
      1.4999143229636780e+00      1.0007867286802673e-15
