============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 17:47:45
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 446
  General (Re!=0, Im!=0): 62
  Purely imaginary (Re~0): 82
  Purely real (Im~0): 302

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.5018816580934551e+00      1.5924462639677712e-04
      1.5016293845753350e+00      1.3136870612622613e-04
      1.5014220748024127e+00      1.0992596529860934e-04
      1.4989828381968151e+00     -1.0694327759233206e-04
      1.4989313547501411e+00     -1.1518333815877553e-04
      1.5014728160856152e+00     -1.2269453515643117e-04
      1.4988758811409599e+00     -1.2428939119977226e-04
      1.5000481869703692e+00     -1.3322267448720500e-04
      1.4988159963228629e+00     -1.3437786830107544e-04
      1.4987512225243782e+00     -1.4558443518738947e-04
      1.4986810158796682e+00     -1.5806778917949274e-04
      1.5015704548610580e+00     -1.6019926651948311e-04
      1.4986047552142354e+00     -1.7201433484532327e-04
      1.5001225732198857e+00     -1.8343134489094614e-04
      1.4985217285612489e+00     -1.8764397213148141e-04
      1.4984311168718285e+00     -2.0521730251355541e-04
      1.5016751453632049e+00     -2.0629367863967993e-04
      1.4983319742366141e+00     -2.2504465442435329e-04
      1.5002203721039029e+00     -2.3284292999537767e-04
      1.4982232037447949e+00     -2.4749745882380453e-04
      1.5017870864662550e+00     -2.6232889479269831e-04
      1.4981035278547739e+00     -2.7302268271185047e-04
      1.5003413802708436e+00     -2.8069255151898101e-04
      1.4979714518159910e+00     -3.0216127205227221e-04
      1.5004849994813765e+00     -3.2544614831407030e-04
      1.5019063975391125e+00     -3.2987679961283173e-04
      1.4978252182336205e+00     -3.3557189422944017e-04
      1.5006500377505194e+00     -3.6461932653401245e-04
      1.4976627502637858e+00     -3.7406174541294005e-04
      1.5008346200866152e+00     -3.9441740793826849e-04
      1.5020330758749119e+00     -4.1074973862860042e-04
      1.4974815801051868e+00     -4.1862686202604604e-04
      1.4972787583252143e+00     -4.7050534129510488e-04
      1.5021669481487321e+00     -5.0701852494804264e-04
      1.4970507379962532e+00     -5.3124827613215567e-04
      1.4967932254321854e+00     -6.0281526483275006e-04
      1.5023076122999979e+00     -6.2102871033345105e-04
      1.4965009862257077e+00     -6.8770441211577805e-04
