============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 18:15:25
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 297
  General (Re!=0, Im!=0): 184
  Purely imaginary (Re~0): 72
  Purely real (Im~0): 41

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      9.9248071896296484e+00     -4.1744462286795347e-02
      9.9231610272139221e+00     -4.3266241245578832e-02
      9.9214658087958494e+00     -4.4860299521335190e-02
      9.9197198530434640e+00     -4.6530839228831500e-02
      9.9179214263406337e+00     -4.8282350356246305e-02
      9.9160687428793928e+00     -5.0119633450434700e-02
      9.9141599650955694e+00     -5.2047824328652272e-02
      9.9121932045125831e+00     -5.4072421020465944e-02
      9.9101665230688134e+00     -5.6199313166604176e-02
      9.9080779350158608e+00     -5.8434814127458205e-02
      9.9059254094891109e+00     -6.0785696083262349e-02
      9.9037068738681242e+00     -6.3259228441149049e-02
      9.9014202180633060e+00     -6.5863219901867151e-02
      9.8990632998872172e+00     -6.8606064581642881e-02
      9.8966339516944668e+00     -7.1496792633240686e-02
      9.8941299885039324e+00     -7.4545125865673995e-02
      9.8915492178519582e+00     -7.7761538925317591e-02
      9.8888894516659338e+00     -8.1157326673680003e-02
      9.8861485204955368e+00     -8.4744678480343019e-02
      9.8833242904950893e+00     -8.8536760245397042e-02
      9.8804146836166336e+00     -9.2547805076283282e-02
      9.8774177015513267e+00     -9.6793213671918940e-02
      9.8743314540490239e+00     -1.0128966561548639e-01
      9.8711541923551209e+00     -1.0605524295012105e-01
      9.8678843486336660e+00     -1.1110956761355650e-01
      9.8645205824003419e+00     -1.1647395454420056e-01
      9.8610618351737731e+00     -1.2217158254899230e-01
      9.8575073947750802e+00     -1.2822768535115825e-01
      9.8538569709718722e+00     -1.3466976562403501e-01
      9.8501107844842135e+00     -1.4152783527831853e-01
      9.8462696717591154e+00     -1.4883468582043735e-01
      9.8423352083931110e+00     -1.5662619325922889e-01
      9.8383098546597836e+00     -1.6494166283184700e-01
      9.8341971273068651e+00     -1.7382421977958859e-01
      9.8300018026591474e+00     -1.8332125357039619e-01
      9.8257301571420932e+00     -1.9348492438867002e-01
      9.8213902526826313e+00     -2.0437274246088313e-01
      9.8169922761213382e+00     -2.1604823294294340e-01
      9.8125489438803211e+00     -2.2858170177376194e-01
      9.8080759858006896e+00     -2.4205112124527178e-01
      9.8035927254630177e+00     -2.5654315824537005e-01
      9.7991227786618236e+00     -2.7215437345421167e-01
      9.7946948973313361e+00     -2.8899262656148772e-01
      9.7903439935389489e+00     -3.0717873129096562e-01
      9.7861123877610368e+00     -3.2684841530905945e-01
      9.7820513383514509e+00     -3.4815465484138397e-01
      9.7782229260592981e+00     -3.7127047326091533e-01
      9.7747023902951806e+00     -3.9639231878939835e-01
      9.7715810449595359e+00     -4.2374417126707209e-01
      9.7689699445082603e+00     -4.5358257531377649e-01
      9.7670045306958801e+00     -4.8620286244791056e-01
      9.7658505748723723e+00     -5.2194691579303676e-01
      9.7657118517123678e+00     -5.6121295994727960e-01
      9.7668401563733305e+00     -6.0446804406886523e-01
      9.7695485378060933e+00     -6.5226415766081347e-01
      9.7742290141918744e+00     -7.0525932334737051e-01
      9.7813766419584169e+00     -7.6424562745303815e-01
      9.7916227636313771e+00     -8.3018711028494874e-01
      9.8057818011616025e+00     -9.0427197585912689e-01
      9.8249185248888651e+00     -9.8798611492796018e-01
      9.8504471328289362e+00     -1.0832192528339688e+00
      9.8842813296215830e+00     -1.1924226774946329e+00
      9.9290692173326001e+00     -1.3188516494785043e+00
      9.9885754378702920e+00     -1.4669531796194260e+00
      1.0068332500395464e+01     -1.6430170947227580e+00
      1.0176816120714104e+01     -1.8563364074014701e+00
      1.0327723968559772e+01     -2.1214380452165562e+00
      1.0544825427664994e+01     -2.4628198942461661e+00
      1.0873677002621404e+01     -2.9264925950751155e+00
      1.1415633609341485e+01     -3.6145009957347001e+00
      1.2460698680361180e+01     -4.8314715945332711e+00
      1.5392545693498043e+01     -8.5186578279795100e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.0000000000074238e+01     -2.7847299662306799e-12
      1.0000000006009984e+01     -2.2528787275212350e-10
      1.0000000046324072e+01     -1.7341001605361445e-09
      1.0000000177676011e+01     -6.6374800249639247e-09
      1.0000000484496679e+01     -1.8050087908864193e-08
      1.0000001078334348e+01     -4.0037518199413131e-08
      1.0000002097008805e+01     -7.7545249226752428e-08
      1.0000003703594663e+01     -1.3631431077670772e-07
      1.0000006085258621e+01     -2.2278631936623856e-07
      1.0000009451978281e+01     -3.4400075708424119e-07
      1.0000014035171970e+01     -5.0748746606914507e-07
      1.0000020086269897e+01     -7.2115730161902701e-07
      1.0000027875256942e+01     -9.9319374350122681e-07
      1.0000037689216438e+01     -1.3319480238725262e-06
      1.0000049830902663e+01     -1.7458400118792931e-06
      1.0000064617367434e+01     -2.2432667221106822e-06
      1.0000082378663448e+01     -2.8325199095943699e-06
      1.0000103456643901e+01     -3.5217137997217842e-06
      1.0000128203874578e+01     -4.3187235967216038e-06
      1.0000156982671294e+01     -5.2311350351585128e-06
      1.0000190164272208e+01     -6.2662048977807684e-06
      1.0000228128151448e+01     -7.4308321283840284e-06
      1.0000271261477469e+01     -8.7315389250224792e-06
      1.0000319958717046e+01     -1.0174461008401727e-05
      1.0000374621383408e+01     -1.1765346121376416e-05
      1.0000435657925085e+01     -1.3509559724718747e-05
      1.0000503483750430e+01     -1.5412096806726898e-05
      1.0000578521381472e+01     -1.7477598713821510e-05
      1.0000661200729750e+01     -1.9710373929569894e-05
      1.0000751959486124e+01     -2.2114421774059934e-05
      1.0000851243616086e+01     -2.4693458057966115e-05
      1.0000959507951848e+01     -2.7450941800262950e-05
      1.0001077216872412e+01     -3.0390102200256865e-05
      1.0001204845062944e+01     -3.3513965139075541e-05
      1.0001342878344888e+01     -3.6825378569380482e-05
      1.0001491814568526e+01     -4.0327036231997900e-05
      1.0001652164560005e+01     -4.4021499212218700e-05
      1.0001824453115033e+01     -4.7911214915132005e-05
      1.0002009220031873e+01     -5.1998533097481570e-05
      1.0002207021176346e+01     -5.6285718642557545e-05
      1.0002884452656177e+01     -7.0368022668482598e-05

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
  ──────────────────────────  ──────────────────────────  ──────────────────────────
     -3.6767727226513541e-67     -2.2291558379539911e+01
      2.6520667021688494e-66     -2.2543779997667947e+01      2.5222161812803634e-01
      7.0237258579581248e-66     -2.2795868852409523e+01      2.5208885474157583e-01
      1.5863151580332090e-66     -2.3047944855196167e+01      2.5207600278664444e-01
     -2.7987868914016689e-65     -2.3299903178971444e+01      2.5195832377527694e-01
     -5.7513814615319282e-65     -2.3551770754294541e+01      2.5186757532309656e-01
      1.6463983118376849e-65     -2.3803575078940025e+01      2.5180432464548375e-01
      2.6217751785305034e-64     -2.4055302931640718e+01      2.5172785270069298e-01
      3.6227604709626933e-64     -2.4306959809560688e+01      2.5165687791997016e-01
     -4.4367855307865759e-64     -2.4558554690228792e+01      2.5159488066810454e-01
     -2.0367677987242625e-63     -2.4810088160693233e+01      2.5153347046444097e-01
     -1.3474525858675651e-63     -2.5061563064585687e+01      2.5147490389245419e-01
      5.3810091759744452e-63     -2.5312983679060387e+01      2.5142061447469999e-01
      1.1961404404123012e-62     -2.5564352392329823e+01      2.5136871326943577e-01
     -2.6948879116876673e-63     -2.5815671544616244e+01      2.5131915228642043e-01
     -4.2832669585526519e-62     -2.6066943875943984e+01      2.5127233132774052e-01
     -4.2570695236505989e-62     -2.6318171653362906e+01      2.5122777741892222e-01
      8.5285952940530645e-62     -2.6569356901524053e+01      2.5118524816114629e-01
      2.2333772483351025e-61     -2.6820501681619668e+01      2.5114478009561481e-01
     -1.8999398575339890e-62     -2.7071607899411500e+01      2.5110621779183262e-01
     -6.6484600292182306e-61     -2.7322677284891846e+01      2.5106938548034563e-01
     -5.8137201394643261e-61     -2.7573711502567935e+01      2.5103421767608936e-01
      1.2948256849261558e-60     -2.7824712132642734e+01      2.5100063007479889e-01
      2.6722042224318899e-60     -2.8075680641591081e+01      2.5096850894834688e-01
     -1.1756048229379626e-60     -2.8326618415406866e+01      2.5093777381578519e-01
     -7.6828038345113662e-60     -2.8577526773578946e+01      2.5090835817207946e-01
     -2.7457668544015695e-60     -2.8828406958216245e+01      2.5088018463729966e-01
      1.6551606741693993e-59     -2.9079260140578985e+01      2.5085318236273935e-01
      1.7218983717582185e-59     -2.9330087433698978e+01      2.5082729311999330e-01
     -2.7157640499698295e-59     -2.9580889893025557e+01      2.5080245932657874e-01
     -5.3737945265468291e-59     -2.9831668516843973e+01      2.5077862381841598e-01
      2.9946036448262640e-59     -3.0082424252818495e+01      2.5075573597452205e-01
      1.2781551615375238e-58     -3.0333158002330460e+01      2.5073374951196570e-01
     -2.6815759565142739e-60     -3.0583870621325083e+01      2.5071261899462272e-01
     -2.5577610182027526e-58     -3.0834562922942350e+01      2.5069230161726708e-01
     -9.3463874903218365e-59     -3.1085235681443056e+01      2.5067275850070558e-01
      4.5008294127752396e-58     -3.1335889634323713e+01      2.5065395288065773e-01
      3.1373659211452004e-58     -3.1586525483638603e+01      2.5063584931488947e-01
     -7.1650974603536245e-58     -3.1837143898371668e+01      2.5061841473306501e-01
     -7.2345107031463662e-58     -3.2087745516867578e+01      2.5060161849591012e-01
      1.0577748874980062e-57     -3.2338330948253599e+01      2.5058543138602118e-01
      1.3847020562702648e-57     -3.2588900773727147e+01      2.5056982547354778e-01
     -1.4868363850690644e-57     -3.2839455548381672e+01      2.5055477465452469e-01
     -2.3360219636085911e-57     -3.3089995802870298e+01      2.5054025448862660e-01
      2.0479267630076569e-57     -3.3340522044479222e+01      2.5052624160892378e-01
      3.5641983293071136e-57     -3.3591034758197644e+01      2.5051271371842176e-01
     -2.8350440378765330e-57     -3.3841534408108977e+01      2.5049964991133322e-01
     -4.9674136626599421e-57     -3.4092021438629502e+01      2.5048703052052446e-01
