============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 19:28:34
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 505
  General (Re!=0, Im!=0): 24
  Purely imaginary (Re~0): 83
  Purely real (Im~0): 398

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.9993875846304279e-01      1.5116670984565770e-04
      1.9989186878088519e-01      1.4723681515003170e-04
      1.9997733048053362e-01      1.4260926625025684e-04
      2.0000573048314724e-01      1.2637212238558900e-04
      1.9984231284127804e-01      1.2548890192113203e-04
      2.0002518764101260e-01      1.0685258727151580e-04
      1.9981661443476184e-01     -1.0393842068811020e-04
      2.0001531314996276e-01     -1.1794727590176323e-04
      1.9999107191231502e-01     -1.3621371748933760e-04
      1.9986378502498442e-01     -1.3760986357555483e-04
      1.9995693897490058e-01     -1.4871176989233111e-04
      1.9991317834840222e-01     -1.5094040127066317e-04
      4.9632660594248351e-01     -9.2389166442148257e-02
      4.7028628454624627e-01     -2.8617687982254963e-01
      4.3095703462716639e-01     -5.0020948399936593e-01
      3.9190747229408796e-01     -7.3282354747280187e-01
      3.5911404611171888e-01     -9.7686395726205488e-01
      3.3305649323009079e-01     -1.2265735802635784e+00
      3.1241770560921173e-01     -1.4787705493196990e+00
      2.9580230191943213e-01     -1.7319439043426372e+00
      2.8214385883327725e-01     -1.9854123862883863e+00
      2.7068869224937531e-01     -2.2388764074695207e+00
      2.6091215133990359e-01     -2.4921988741445995e+00
      2.5242449909270531e-01     -2.7453502850286946e+00

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.9952302338640626e-01     -1.1773641886109987e-07
      1.9954851120450906e-01     -4.6646119073124238e-14
      1.9974621800422335e-01     -2.8515283260022443e-14
      1.9977634251817170e-01      1.9574375044474669e-05
      1.9978318756692853e-01     -4.8808131331416260e-05
      1.9979958186380098e-01      8.2246358495510104e-05
      1.9983781723239616e-01     -1.6844848219083270e-14
      1.9988753152382091e-01     -1.0469423568283083e-14
      1.9991747051419226e-01     -6.8678419576449035e-15
      1.9993687819460337e-01     -4.7198583356930479e-15
      1.9995016915790126e-01     -3.3716593640685787e-15
      1.9995966668839943e-01     -2.4871903163834716e-15
      1.9996668766707998e-01     -1.8847092089349581e-15
      1.9997202360851424e-01     -1.4609730370895324e-15
      1.9997617342133328e-01     -1.1546822902672066e-15
      1.9997946420058971e-01     -9.2799766715257552e-16
      1.9998211761889206e-01     -7.5675168168225822e-16
      1.9998428821184777e-01     -6.2503992104478218e-16
      1.9998608637473361e-01     -5.2211590081149918e-16
      1.9998759266884589e-01     -4.4054641336278835e-16
      1.9998886699723245e-01     -3.7508167351618288e-16
      1.9998995464951844e-01     -3.2194405869066742e-16
      1.9999089037967627e-01     -2.7836919393669949e-16
      1.9999170121560597e-01     -2.4230319724024011e-16
      1.9999240843199942e-01     -2.1219888414880415e-16
      1.9999302895958576e-01     -1.8687605208081042e-16
      1.9999357640752582e-01     -1.6542408449511195e-16
      1.9999406181571880e-01     -1.4713301347972374e-16
      1.9999449421558405e-01     -1.3144403992070625e-16
      1.9999488105307880e-01     -1.1791356264746061e-16
      1.9999522851131249e-01     -1.0618672067301370e-16
      1.9999554175909670e-01     -9.5977723659270617e-17
      1.9999582514424294e-01     -8.7055086359767124e-17
      1.9999608234521193e-01     -7.9230447089337577e-17
      1.9999631649106239e-01     -7.2350034358414620e-17
      1.9999653025705252e-01     -6.6288110645531728e-17
      1.9999672594138199e-01     -6.0941907118700802e-17
      1.9999690552720986e-01     -5.6227693597439465e-17
      1.9999707073309037e-01     -5.2077721150227594e-17
      1.9999722305423417e-01     -4.8437841830854609e-17
      1.9999736379645411e-01     -4.5265658895639728e-17
      1.9999749410424056e-01     -4.2529096711972194e-17
      1.9999761498409921e-01     -4.0205306142546340e-17
      1.9999772732404264e-01     -3.8279841043634826e-17
      1.9999783190994405e-01     -3.6746056470386691e-17
      1.9999792943931705e-01     -3.5604690536611323e-17
      1.9999802053297416e-01     -3.4863600565866937e-17
      1.9999810574492988e-01     -3.4537630873452381e-17
      1.9999818557084306e-01     -3.4648594731386569e-17
      1.9999826045524047e-01     -3.5225357156384545e-17
      1.9999833079771823e-01     -3.6304008395703886e-17
      1.9999839695828323e-01     -3.7928120570524039e-17
      1.9999845926196805e-01     -4.0149082024051424e-17
      1.9999851800283039e-01     -4.3026505627661334e-17
      1.9999857344742886e-01     -4.6628708711524755e-17
      1.9999862583785202e-01     -5.1033263474306596e-17
      1.9999867539436544e-01     -5.6327617742313879e-17
      1.9999872231773028e-01     -6.2609786833016672e-17
      1.9999876679123985e-01     -6.9989118063521077e-17
      1.9999880898251202e-01     -7.8587130157064139e-17
      1.9999884904507090e-01     -8.8538430460596572e-17
      1.9999888711974526e-01     -9.9991713510839115e-17
      1.9999892333590777e-01     -1.1311084508872819e-16
      1.9999895781257546e-01     -1.2807603649456002e-16
      1.9999899065938856e-01     -1.4508511436837026e-16
      1.9999902197748334e-01     -1.6435489198085994e-16
      1.9999905186027150e-01     -1.8612264853728619e-16
      1.9999908039413741e-01     -2.1064772367731554e-16
      1.9999910765906315e-01     -2.3821323502458499e-16
      1.9999913372918957e-01     -2.6912792734707682e-16
      1.9999915867332071e-01     -3.0372816263971865e-16
      1.9999918255537844e-01     -3.4238006124023212e-16
      1.9999920543481214e-01     -3.8548180494465971e-16
      1.9999922736696918e-01     -4.3346611400693765e-16
      1.9999924840342981e-01     -4.8680291089441751e-16
      1.9999926859231082e-01     -5.4600218473586412e-16
      1.9999928797854077e-01     -6.1161707154819376e-16
      1.9999930660411033e-01     -6.8424716657168036e-16
      1.9999932450829974e-01     -7.6454208638988753e-16
      1.9999934172788603e-01     -8.5320529997031445e-16
      1.9999935829733215e-01     -9.5099824934572467e-16
      1.9999937424895947e-01     -1.0587447823764419e-15
      1.9999938961310543e-01     -1.1773359219037652e-15
      1.9999940441826805e-01     -1.3077349976386223e-15
      1.9999941869123805e-01     -1.4509831693435794e-15
      1.9999943245722016e-01     -1.6082053722779609e-15
      1.9999944573994449e-01     -1.7806167185044545e-15
      1.9999945856176882e-01     -1.9695293905225699e-15
      1.9999947094377277e-01     -2.1763600668232782e-15
      1.9999948290584452e-01     -2.4026379223762292e-15
      1.9999949446676060e-01     -2.6500132507949372e-15
      1.9999950564425981e-01     -2.9202667590083496e-15
      1.9999951645511110e-01     -3.2153195897346604e-15
      1.9999952691517670e-01     -3.5372441319445247e-15
      1.9999953703947010e-01     -3.8882756848597115e-15
      1.9999954684221016e-01     -4.2708250469082988e-15
      1.9999955633687103e-01     -4.6874921075028801e-15
      1.9999956553622833e-01     -5.1410805265842120e-15
      1.9999957445240230e-01     -5.6346135946463580e-15
      1.9999958309689761e-01     -6.1713513745057488e-15
      1.9999959148064073e-01     -6.7548092354793032e-15
      1.9999959961401409e-01     -7.3887779009894238e-15
      1.9999960750688867e-01     -8.0773451420210651e-15
      1.9999961516865358e-01     -8.8249192614354050e-15
      1.9999962260824428e-01     -9.6362545280275238e-15
      1.9999962983416847e-01     -1.0516478734549478e-14
      1.9999963685453048e-01     -1.1471123070871310e-14
      1.9999964367705403e-01     -1.2506154522207263e-14
      1.9999965030910347e-01     -1.3628011023103214e-14
      1.9999965675770356e-01     -1.4843639620900965e-14
      1.9999966302955832e-01     -1.6160537927933068e-14
      1.9999966913106818e-01     -1.7586799170060740e-14
      1.9999967506834648e-01     -1.9131161170689279e-14
      1.9999968084723480e-01     -2.0803059644467870e-14
      1.9999968647331717e-01     -2.2612686213943609e-14
      1.9999969195193384e-01     -2.4571051605992585e-14
      1.9999969728819364e-01     -2.6690054533462420e-14
      1.9999970248698618e-01     -2.8982556821777844e-14
      1.9999970755299284e-01     -3.1462465401022815e-14
      1.9999971249069742e-01     -3.4144821852062481e-14
      1.9999971730439606e-01     -3.7045900271571744e-14
      1.9999972199820656e-01     -4.0183314306500496e-14
      1.9999972657607720e-01     -4.3576134304797910e-14
      1.9999973104179503e-01     -4.7245015637599826e-14
      1.9999973539899374e-01     -5.1212339370233828e-14
      1.9999973965116102e-01     -5.5502366597255465e-14
      1.9999974380164556e-01     -6.0141407912535238e-14
      1.9999974785366365e-01     -6.5158009661762472e-14
      1.9999975181030538e-01     -7.0583158824625183e-14
      1.9999975567454054e-01     -7.6450508600857342e-14
      1.9999975944922424e-01     -8.2796627032383453e-14
      1.9999976313710213e-01     -8.9661271287675798e-14
      1.9999976674081546e-01     -9.7087690569716979e-14
      1.9999977026290569e-01     -1.0512296099211966e-13
      1.9999977370581912e-01     -1.1381835620661646e-13
      1.9999977707191105e-01     -1.2322975806825826e-13
      1.9999978036344976e-01     -1.3341811220281390e-13
      1.9999978358262049e-01     -1.4444993400653475e-13
      1.9999978673152891e-01     -1.5639787137641939e-13
      1.9999978981220468e-01     -1.6934133135694765e-13
      1.9999979282660457e-01     -1.8336717891784491e-13
      1.9999979577661581e-01     -1.9857051727172770e-13
      1.9999979866405876e-01     -2.1505556053030735e-13
      1.9999980149068991e-01     -2.3293661111898347e-13
      1.9999980425820452e-01     -2.5233915626520321e-13
      1.9999980696823910e-01     -2.7340110009783840e-13
      1.9999980962237385e-01     -2.9627415050588449e-13
      1.9999981222213506e-01     -3.2112538298125951e-13
      1.9999981476899709e-01     -3.4813900730519075e-13
      1.9999981726438468e-01     -3.7751836724390525e-13
      1.9999981970967481e-01     -4.0948820853585857e-13
      1.9999982210619865e-01     -4.4429725655001157e-13
      1.9999982445524331e-01     -4.8222115228287793e-13
      1.9999982675805364e-01     -5.2356580410115699e-13
      1.9999982901583382e-01     -5.6867122314940970e-13
      1.9999983122974896e-01     -6.1791592303031951e-13
      1.9999983340092650e-01     -6.7172197973103106e-13
      1.9999983553045786e-01     -7.3056086644323800e-13
      1.9999983761939955e-01     -7.9496020070099053e-13
      1.9999983966877458e-01     -8.6551156914223296e-13
      1.9999984167957374e-01     -9.4287962946158009e-13
      1.9999984365275675e-01     -1.0278127313856203e-12
      1.9999984558925335e-01     -1.1211553508440285e-12
      1.9999984748996438e-01     -1.2238626965962172e-12
      1.9999984935576293e-01     -1.3370179298425212e-12
      1.9999985118749505e-01     -1.4618525392533928e-12
      1.9999985298598102e-01     -1.5997705421787836e-12
      1.9999985475201598e-01     -1.7523773451108451e-12
      1.9999985648637084e-01     -1.9215143026738795e-12
      1.9999985818979307e-01     -2.1093002775459231e-12
      1.9999985986300750e-01     -2.3181818410055934e-12
      1.9999986150671700e-01     -2.5509941880957403e-12
      1.9999986312160309e-01     -2.8110354031131616e-12
      1.9999986470832662e-01     -3.1021574408765108e-12
      1.9999986626752830e-01     -3.4288781413618385e-12
      1.9999986779982934e-01     -3.7965198427908083e-12
      1.9999986930583172e-01     -4.2113817991776262e-12
      1.9999987078611886e-01     -4.6809557745655657e-12
      1.9999987224125582e-01     -5.2141970549211463e-12
      1.9999987367178970e-01     -5.8218669274132243e-12
      1.9999987507824996e-01     -6.5169677423276984e-12
      1.9999987646114853e-01     -7.3152984140404301e-12
      1.9999987782098003e-01     -8.2361671810169865e-12
      1.9999987915822190e-01     -9.3033103300992664e-12
      1.9999988047333453e-01     -1.0546081264966857e-11
      1.9999988176676123e-01     -1.2000994788742498e-11
      1.9999988303892843e-01     -1.3713737899234294e-11
      1.9999988429024604e-01     -1.5741791832824171e-11
      1.9999988552110778e-01     -1.8157851297084527e-11
      1.9999988673189237e-01     -2.1054275946216061e-11
      1.9999988792296530e-01     -2.4548865780589667e-11
      1.9999988909468194e-01     -2.8792317246924316e-11
      1.9999989024739273e-01     -3.3977800578682508e-11
      1.9999989138145124e-01     -4.0353245720613785e-11
      1.9999989249722680e-01     -4.8237282190666173e-11
      1.9999989359512307e-01     -5.8040782898594559e-11
      1.9999989467560544e-01     -7.0298820465626322e-11
      1.9999989573924304e-01     -8.5725923246301173e-11
      1.9999989678678065e-01     -1.0533106618216065e-10
      1.9999989781929811e-01     -1.3070547989939132e-10
      1.9999989883871602e-01     -1.6491171340590161e-10
      1.9999989985049055e-01     -2.1643076217278656e-10
      1.9999991513734944e-01      1.9410749952974240e-08
      1.9999997961771399e-01      2.1051928565575234e-08
      2.0000000000007695e-01     -7.8502739317547616e-13
      2.0000000002686377e-01     -4.0774726023778948e-11
      2.0000000017922570e-01     -1.4790822604132280e-10
      2.0000000023473558e-01      2.2199924279516081e-10
      2.0000000050189412e-01     -2.9550409915186874e-10
