============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 19:04:19
Tolerance: 1.0e-04
Resolutions: 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 324
  General (Re!=0, Im!=0): 202
  Purely imaginary (Re~0): 79
  Purely real (Im~0): 43

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      9.9478128982194818e+00     -2.2742081322904464e-02
      9.9468191581448764e+00     -2.3435344554114550e-02
      9.9457985474168726e+00     -2.4156357435690508e-02
      9.9447501623703491e+00     -2.4906488281315278e-02
      9.9436730650241412e+00     -2.5687185265499322e-02
      9.9425662817830087e+00     -2.6499981793892961e-02
      9.9414288021071666e+00     -2.7346502281934519e-02
      9.9402595771517390e+00     -2.8228468376486484e-02
      9.9390575183790268e+00     -2.9147705658366507e-02
      9.9378214961473397e+00     -3.0106150867271222e-02
      9.9365503382809468e+00     -3.1105859694557425e-02
      9.9352428286267731e+00     -3.2149015193729931e-02
      9.9338977056046573e+00     -3.3237936863337203e-02
      9.9325136607593389e+00     -3.4375090462349718e-02
      9.9310893373239715e+00     -3.5563098624053859e-02
      9.9296233288068212e+00     -3.6804752341106396e-02
      9.9281141776149386e+00     -3.8103023401740939e-02
      9.9265603737310784e+00     -3.9461077865288539e-02
      9.9249603534630602e+00     -4.0882290674273111e-02
      9.9233124982880216e+00     -4.2370261510485306e-02
      9.9216151338179639e+00     -4.3928832013760209e-02
      9.9198665289173231e+00     -4.5562104494837545e-02
      9.9180648950085892e+00     -4.7274462287843100e-02
      9.9162083856078489e+00     -4.9070591903798533e-02
      9.9142950961391119e+00     -5.0955507164374601e-02
      9.9123230640842444e+00     -5.2934575515116940e-02
      9.9102902695346131e+00     -5.5013546739902629e-02
      9.9081946362213280e+00     -5.7198584323785905e-02
      9.9060340331134071e+00     -5.9496299740077502e-02
      9.9038062766877424e+00     -6.1913789969955439e-02
      9.9015091339915777e+00     -6.4458678599688471e-02
      9.8991403266378377e+00     -6.7139160882323606e-02
      9.8966975358965570e+00     -6.9964053198217302e-02
      9.8941784090723015e+00     -7.2942847402983374e-02
      9.8915805673887167e+00     -7.6085770613357223e-02
      9.8889016156378009e+00     -7.9403851052403066e-02
      9.8861391538942804e+00     -8.2908990656917342e-02
      9.8832907916457362e+00     -8.6614045243596574e-02
      9.8803541647481783e+00     -9.0532913138676618e-02
      9.8773269556864474e+00     -9.4680633300869954e-02
      9.8742069177010734e+00     -9.9073494112609822e-02
      9.8709919034406735e+00     -1.0372915418356843e-01
      9.8676798989145738e+00     -1.0866677670765695e-01
      9.8642690636579182e+00     -1.1390717914571771e-01
      9.8607577781857554e+00     -1.1947300027757694e-01
      9.8571447000090657e+00     -1.2538888698725451e-01
      9.8534288297216417e+00     -1.3168170352404149e-01
      9.8496095889509601e+00     -1.3838076643238309e-01
      9.8456869123097093e+00     -1.4551810888061534e-01
      9.8416613559016142e+00     -1.5312877876206063e-01
      9.8375342254430294e+00     -1.6125117571623043e-01
      9.8333077276831240e+00     -1.6992743315377595e-01
      9.8289851495689700e+00     -1.7920385250554899e-01
      9.8245710705444065e+00     -1.8913139830372599e-01
      9.8200716145409643e+00     -1.9976626440569412e-01
      9.8154947496776153e+00     -2.1117052377242290e-01
      9.8108506455151900e+00     -2.2341287682055300e-01
      9.8061521000184904e+00     -2.3656951662326842e-01
      9.8014150513075737e+00     -2.5072513332651492e-01
      9.7966591930208295e+00     -2.6597408532365541e-01
      9.7919087169251267e+00     -2.8242177132793467e-01
      9.7871932126449543e+00     -3.0018624595143728e-01
      9.7825487625273873e+00     -3.1940013236117987e-01
      9.7780192803854113e+00     -3.4021289989309073e-01
      9.7736581571112939e+00     -3.6279359335677447e-01
      9.7695302952608873e+00     -3.8733412584334531e-01
      9.7657146405962134e+00     -4.1405328056325341e-01
      9.7623073540220737e+00     -4.4320161307726352e-01
