============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 10:52:24
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 446
  General (Re!=0, Im!=0): 57
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 305

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4016214862405951e+00      1.4098869994598703e-04
      1.4014027868621663e+00      1.1617436800453830e-04
      1.4012674688877940e+00     -1.0293035887637198e-04
      1.3991094801459416e+00     -1.0772540103706159e-04
      1.4000176214034192e+00     -1.1380167867850675e-04
      1.3990627003061671e+00     -1.1636051478591799e-04
      1.3990121575037404e+00     -1.2594056907532948e-04
      1.4013532396533459e+00     -1.3498233089121519e-04
      1.3989574396511550e+00     -1.3659796985721599e-04
      1.3988980770542250e+00     -1.4848794035936014e-04
      1.3988335325427439e+00     -1.6179322501803787e-04
      1.4000758541544558e+00     -1.6446606279436600e-04
      1.4014454361634749e+00     -1.7461455987034257e-04
      1.3987631895864834e+00     -1.7672993044568779e-04
      1.3986863379165668e+00     -1.9355482082807898e-04
      1.3986021560409270e+00     -2.1257448625381875e-04
      1.4001561666910509e+00     -2.1510600285767144e-04
      1.4015442647336758e+00     -2.2305559740120289e-04
      1.3985096898704794e+00     -2.3415693999784756e-04
      1.3984078264456601e+00     -2.5874638941848169e-04
      1.4002584825338265e+00     -2.6482619986705142e-04
      1.4016498654906457e+00     -2.8174118983964879e-04
      1.3982952614514064e+00     -2.8688218621663892e-04
      1.4003825437019413e+00     -3.1211688880750072e-04
      1.3981704588050434e+00     -3.1922332660868280e-04
      1.4017622709030506e+00     -3.5233595938731016e-04
      1.4005276618258335e+00     -3.5461964897762677e-04
      1.3980316000571813e+00     -3.5658038680399888e-04
      1.4006926064230827e+00     -3.8880068447487599e-04
      1.3978765206056203e+00     -3.9995751349700164e-04
      1.4018813596222814e+00     -4.3675238434600982e-04
      1.3977026287076644e+00     -4.5060814826800244e-04
      1.3975068018732624e+00     -5.1010971087410634e-04
      1.4020068008842754e+00     -5.3716831909565374e-04
      1.3972852532640758e+00     -5.8046475200085735e-04
      1.4021379873322428e+00     -6.5604071049567172e-04
      1.3970333579677596e+00     -6.6423951074502815e-04
      1.3967454251003366e+00     -7.6475601802974784e-04
      1.3964143960710271e+00     -8.8636192345946233e-04
      1.3960314412076200e+00     -1.0348148347661371e-03
      1.3955854150504690e+00     -1.2178381041451462e-03
      1.3950621130999330e+00     -1.4459377932076901e-03
      1.3944432467877714e+00     -1.7336250537481437e-03
      1.3937050146212935e+00     -2.1012807853957147e-03
      1.3928160894186081e+00     -2.5780607028435066e-03
      1.3917347552008523e+00     -3.2065273320882408e-03
      1.3904048008107119e+00     -4.0502266263407862e-03
      1.3887495988628138e+00     -5.2064383355528987e-03
      1.3866635679784651e+00     -6.8283302731607636e-03
      1.3839999828400371e+00     -9.1648885812631187e-03
      1.3805540719625662e+00     -1.2636060721075461e-02
      1.3760412120443564e+00     -1.7981863175127434e-02
      1.3700737278272845e+00     -2.6579439462800322e-02
      1.3621507718389729e+00     -4.1186089468611811e-02
      1.3516929753388580e+00     -6.7959457815194871e-02
      1.3379523078549771e+00     -1.2348806832053971e-01
      1.3118275675278688e+00     -2.7309343159367172e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.3991528597376517e+00     -9.9921829801377209e-05
      1.3991931593222331e+00     -9.2852309725603507e-05
      1.3992306624721793e+00     -8.6432718613703688e-05
      1.3992656209956984e+00     -8.0590217182122017e-05
      1.3992982590955041e+00     -7.5261525959692625e-05
      1.3993287769084384e+00     -7.0391495881406545e-05
      1.3993573535286754e+00     -6.5931917547003684e-05
      1.3993841495985366e+00     -6.1840525316192948e-05
