============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 14:20:56
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 445
  General (Re!=0, Im!=0): 60
  Purely imaginary (Re~0): 84
  Purely real (Im~0): 301

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4516468097592556e+00      1.3838653116001121e-04
      1.4514301108542957e+00      1.1479353589470908e-04
      1.4491458874189409e+00     -1.0030794798944083e-04
      1.4491042931776370e+00     -1.0775340847631673e-04
      1.4513588396524852e+00     -1.0972103290188079e-04
      1.4490596019635920e+00     -1.1595200334973346e-04
      1.4500147655025279e+00     -1.2300098374572546e-04
      1.4490115003427735e+00     -1.2500110326745840e-04
      1.4489596344529794e+00     -1.3501353191234698e-04
      1.4514496950582163e+00     -1.4371348124101230e-04
      1.4489036036233682e+00     -1.4612049407486676e-04
      1.4488429527960998e+00     -1.5847515293360398e-04
      1.4487771634880338e+00     -1.7225702239913912e-04
      1.4500748560850094e+00     -1.7777402598955297e-04
      1.4515472503577393e+00     -1.8565316598752793e-04
      1.4487056429647016e+00     -1.8767738864032798e-04
      1.4486277112143542e+00     -2.0498603899812259e-04
      1.4485425852008691e+00     -2.2447966222393528e-04
      1.4501578856205597e+00     -2.3259162147177629e-04
      1.4516517133379103e+00     -2.3680658989376442e-04
      1.4484493597326336e+00     -2.4651239954386777e-04
      1.4483469840992576e+00     -2.7150918307847097e-04
      1.4518386105463554e+00     -2.7699646726941256e-04
      1.4502637914686451e+00     -2.8655500247411485e-04
      1.4517632232707578e+00     -2.9865128384378651e-04
      1.4482342333840816e+00     -2.9998271332074895e-04
      1.4481096730371750e+00     -3.3255522484977362e-04
      1.4503923779856263e+00     -3.3815699135374258e-04
      1.4479716148619661e+00     -3.6998660458009610e-04
      1.4518818093580508e+00     -3.7289680165088039e-04
      1.4505430573067912e+00     -3.8506104919854841e-04
      1.4478180619882222e+00     -4.1321101190274363e-04
      1.4507147259594728e+00     -4.2379442820427132e-04
      1.4520073444172441e+00     -4.6150327170228544e-04
      1.4476466396174743e+00     -4.6338498329383888e-04
      1.4474545072523828e+00     -5.2195120383577074e-04
      1.4521394893792992e+00     -5.6669855624897388e-04
      1.4472382466415010e+00     -5.9072387637800438e-04
      1.4469937176153376e+00     -6.7200419842138395e-04
      1.4467158711102903e+00     -7.6873831320014348e-04
      1.4463985046091461e+00     -8.8473594934491853e-04
      1.4460339394307249e+00     -1.0249769665259052e-03
      1.4456125909746369e+00     -1.1960471110012813e-03
      1.4451223909737827e+00     -1.4067667113743943e-03
      1.4445480032449103e+00     -1.6691124216570413e-03
      1.4438697487182419e+00     -1.9995923252642757e-03
      1.4430621178326934e+00     -2.4213365617440884e-03
      1.4420916933227232e+00     -2.9673420843909044e-03
      1.4409142270447264e+00     -3.6856239554268820e-03
      1.4394705035455864e+00     -4.6476001575456623e-03
      1.4376804784446722e+00     -5.9621241959828351e-03
      1.4354350219059093e+00     -7.7997172936770586e-03
      1.4325845208669123e+00     -1.0435950038171724e-02
      1.4289239094940993e+00     -1.4332499802654532e-02
      1.4241753226944478e+00     -2.0296854884499012e-02
      1.4179750356839669e+00     -2.9819753832641516e-02
      1.4098868862871448e+00     -4.5862419505831496e-02
      1.3994954566144202e+00     -7.4993955597734821e-02
      1.3864794972097432e+00     -1.3485208559735090e-01
      1.3626949123039007e+00     -2.9523596440474209e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.4491846630865071e+00     -9.3531296090724268e-05
      1.4492208681201442e+00     -8.7350182231248384e-05
      1.4492547238969165e+00     -8.1700740138678204e-05
      1.4492864285606124e+00     -7.6527132129402723e-05
      1.4493161598762159e+00     -7.1780398227225278e-05
      1.4493440776849802e+00     -6.7417489669076413e-05
      1.4493703260224848e+00     -6.3400454279512766e-05
      1.4493950349513407e+00     -5.9695747433719670e-05
      1.4494183221515025e+00     -5.6273647277497038e-05
      1.4494402943040241e+00     -5.3107756817081747e-05
      1.4494610482982651e+00     -5.0174578649632345e-05
      1.4494806722877538e+00     -4.7453150644498315e-05
      1.4494992466159418e+00     -4.4924732935723688e-05
      1.4495168446298097e+00     -4.2572538248390382e-05
      1.4495335333965402e+00     -4.0381498934089754e-05
      1.4495493743362042e+00     -3.8338065195746186e-05
      1.4495644237814937e+00     -3.6430029887827783e-05
      1.4495787334739365e+00     -3.4646376023132126e-05
      1.4495923510046780e+00     -3.2977143732382102e-05
      1.4496053202067822e+00     -3.1413313932172974e-05
      1.4496176815050370e+00     -2.9946706379880638e-05
      1.4496294722284324e+00     -2.8569890146641368e-05
      1.4496407268897882e+00     -2.7276104834081219e-05
      1.4496514774364100e+00     -2.6059191107329938e-05
      1.4496617534751464e+00     -2.4913529324299870e-05
      1.4496715824747908e+00     -2.3833985216003012e-05
      1.4496809899483865e+00     -2.2815861720341812e-05
      1.4496899996176846e+00     -2.1854856196866818e-05
      1.4496986335617190e+00     -2.0947022356166483e-05
      1.4497069123512216e+00     -2.0088736327907790e-05
