============================================================
QNM Convergence Report
============================================================
Date: 2026-02-15 18:48:46
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 296
  General (Re!=0, Im!=0): 184
  Purely imaginary (Re~0): 71
  Purely real (Im~0): 41

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.0006255415589328e+01     -1.3116705628451423e-04
      1.0006705863543253e+01     -1.3844441692453598e-04
      1.0007180363345825e+01     -1.4594158497682749e-04
      1.0019962171257024e+01     -3.0228099767094926e-04
      9.9852144843878108e+00     -3.2565830290100335e-03
      9.9850559654005888e+00     -3.3097136145561618e-03
      9.9848949584220446e+00     -3.3640155229774107e-03
      9.9847314069274766e+00     -3.4195201990006386e-03
      9.9845652532106222e+00     -3.4762599436739261e-03
      9.9843964383884778e+00     -3.5342679383042340e-03
      9.9842249024006353e+00     -3.5935782884268575e-03
      9.9840505839985330e+00     -3.6542260847180455e-03
      9.9838734207216824e+00     -3.7162474768701399e-03
      9.9836933488594699e+00     -3.7796797561022682e-03
      9.9835103033986208e+00     -3.8445614421552237e-03
      9.9833242179576072e+00     -3.9109323712096323e-03
      9.9831350247101014e+00     -3.9788337820194303e-03
      9.9829426542999666e+00     -4.0483083985090049e-03
      9.9827470357503501e+00     -4.1194005080061255e-03
      9.9825480963692392e+00     -4.1921560350774642e-03
      9.9823457616534732e+00     -4.2666226115464232e-03
      9.9821399551926699e+00     -4.3428496436893008e-03
      9.9819305985741131e+00     -4.4208883778393453e-03
      9.9817176112890973e+00     -4.5007919657091486e-03
      9.9815009106409160e+00     -4.5826155307079714e-03
      9.9812804116542964e+00     -4.6664162364195311e-03
      9.9810560269859234e+00     -4.7522533582509234e-03
      9.9808276668354718e+00     -4.8401883590916137e-03
      9.9805952388565640e+00     -4.9302849696528251e-03
      9.9803586480669821e+00     -5.0226092740056679e-03
      9.9801177967575097e+00     -5.1172298007091917e-03
      9.9798725843987928e+00     -5.2142176198208242e-03
      9.9796229075457070e+00     -5.3136464460119817e-03
      9.9793686597387179e+00     -5.4155927479690880e-03
      9.9791097314018540e+00     -5.5201358642416555e-03
      9.9788460097369089e+00     -5.6273581257003562e-03
      9.9785773786135863e+00     -5.7373449847848736e-03
      9.9783037184553169e+00     -5.8501851517496969e-03
      9.9780249061204849e+00     -5.9659707381521133e-03
      9.9777408147788957e+00     -6.0847974078675655e-03
      9.9774513137832361e+00     -6.2067645359607628e-03
      9.9771562685353370e+00     -6.3319753757849484e-03
      9.9768555403470387e+00     -6.4605372347253951e-03
      9.9765489862954464e+00     -6.5925616590462015e-03
      9.9762364590723358e+00     -6.7281646283416270e-03
      9.9759178068275070e+00     -6.8674667601349290e-03
      9.9755928730057981e+00     -7.0105935252093307e-03
      9.9752614961775272e+00     -7.1576754742980562e-03
      9.9749235098620694e+00     -7.3088484768038114e-03
      9.9745787423442742e+00     -7.4642539722634023e-03
      9.9742270164834306e+00     -7.6240392353208505e-03
      9.9738681495144306e+00     -7.7883576550229830e-03
      9.9735019528408309e+00     -7.9573690293054094e-03
      9.9731282318194054e+00     -8.1312398755946213e-03
      9.9727467855358771e+00     -8.3101437585139364e-03
      9.9723574065713922e+00     -8.4942616357475634e-03
      9.9719598807593677e+00     -8.6837822231887237e-03
      9.9715539869322676e+00     -8.8789023805746492e-03
      9.9711394966578926e+00     -9.0798275188941346e-03
      9.9707161739646875e+00     -9.2867720309423602e-03
      9.9702837750556483e+00     -9.4999597464935671e-03
      9.9698420480102588e+00     -9.7196244136653672e-03
      9.9693907324740110e+00     -9.9460102081596006e-03
      9.9689295593349190e+00     -1.0179372272184340e-02
      9.9684582503864920e+00     -1.0419977284990724e-02
      9.9679765179765845e+00     -1.0668104067097397e-02
      9.9674840646415053e+00     -1.0924044220425382e-02
      9.9669805827247799e+00     -1.1188102806728254e-02
      9.9664657539799020e+00     -1.1460599066877261e-02
      9.9659392491564098e+00     -1.1741867183750010e-02
      9.9654007275685910e+00     -1.2032257091675453e-02
      9.9648498366460938e+00     -1.2332135335608663e-02
      9.9642862114657245e+00     -1.2641885983447647e-02
      9.9637094742636361e+00     -1.2961911595162920e-02
      9.9631192339271610e+00     -1.3292634252690446e-02
      9.9625150854654709e+00     -1.3634496654841635e-02
      9.9618966094582273e+00     -1.3987963281812898e-02
      9.9612633714814187e+00     -1.4353521634233575e-02
      9.9606149215095101e+00     -1.4731683552077844e-02
      9.9599507932930464e+00     -1.5122986619186174e-02
      9.9592705037108438e+00     -1.5527995659597921e-02
      9.9585735520958956e+00     -1.5947304332392484e-02
      9.9578594195341132e+00     -1.6381536832275549e-02
      9.9571275681350428e+00     -1.6831349703733456e-02
      9.9563774402737106e+00     -1.7297433777217579e-02
      9.9556084578027555e+00     -1.7780516236516108e-02
      9.9548200212340774e+00     -1.8281362827229124e-02
      9.9540115088892218e+00     -1.8800780217089978e-02
      9.9531822760178272e+00     -1.9339618519778536e-02
      9.9523316538835225e+00     -1.9898773994857798e-02
      9.9514589488167164e+00     -2.0479191937542430e-02
      9.9505634412338999e+00     -2.1081869773185664e-02
      9.9496443846231557e+00     -2.1707860372659864e-02
      9.9487010044957831e+00     -2.2358275606217056e-02
      9.9477324973041004e+00     -2.3034290154962021e-02
      9.9467380293257843e+00     -2.3737145600765820e-02
      9.9457167355153011e+00     -2.4468154817307772e-02
      9.9446677183234033e+00     -2.5228706686976684e-02
      9.9435900464859852e+00     -2.6020271170606724e-02
      9.9424827537840894e+00     -2.6844404759492051e-02
      9.9413448377773488e+00     -2.7702756341841279e-02
      9.9401752585138272e+00     -2.8597073518826059e-02
      9.9389729372198534e+00     -2.9529209408677443e-02
      9.9377367549743880e+00     -3.0501129980924888e-02
      9.9364655513733577e+00     -3.1514921966893580e-02
      9.9351581231905435e+00     -3.2572801397020651e-02
