============================================================
QNM Convergence Report
============================================================
Date: 2026-04-01 19:26:11
Tolerance: 1.0e-04
Resolutions: 180, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 245
  General (Re!=0, Im!=0): 76
  Purely imaginary (Re~0): 0
  Purely real (Im~0): 169

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
      2.1998914842007773e+00     -2.5050492363449849e-05
      2.1998919341880057e+00      1.4262412126471696e-06
      2.1998919619747874e+00     -2.1108061468081095e-05
      2.1998922907683616e+00     -2.2700031497167539e-06
      2.1998923045987859e+00     -1.7242654458360574e-05
      2.1998925049540525e+00     -5.9695192349247095e-06
      2.1998925104248888e+00     -1.3440699576447734e-05
      2.1998925777372906e+00     -9.6879522994189723e-06
      2.2000000000159901e+00     -2.7440020091442191e-12
      2.2000000012823016e+00     -2.1770762323023879e-10
      2.2000000097031984e+00     -1.6137016880549843e-09
      2.2000000362421464e+00     -5.8536135467994735e-09
      2.2000000955746026e+00     -1.4889191526451332e-08
      2.2000002045598794e+00     -3.0580894610908107e-08
      2.2000003808814421e+00     -5.4451372686871810e-08
      2.2000006420382427e+00     -8.7590192195943629e-08
      2.2000010047200855e+00     -1.3067065819161012e-07
      2.2000014845073292e+00     -1.8402571840733782e-07
      2.2000020958025779e+00     -2.4774139330387190e-07
      2.2000028519073607e+00     -3.2174381410157597e-07
      2.2000037651774083e+00     -4.0586995894412164e-07
      2.2000048472121403e+00     -4.9992046318278175e-07
      2.2000061090516287e+00     -6.0369670240764979e-07
      2.2000075613665788e+00     -7.1702552924030869e-07
      2.2000078413782456e+00      1.0905646938766098e-06
      2.2000092146346431e+00     -8.3977495498295048e-07
      2.2000110793009493e+00     -9.7186350349546835e-07
      2.2000118547941390e+00      1.4392041002521985e-06
      2.2000131659232305e+00     -1.1132653188428634e-06
      2.2000154853031626e+00     -1.2640125391581965e-06
      2.2000161152123567e+00      1.7706996776563184e-06
      2.2000180486060477e+00     -1.4241960007557312e-06
      2.2000207416711279e+00      2.1023586582697649e-06
      2.2000208674710802e+00     -1.5939650039542888e-06
      2.2000239541143540e+00     -1.7735266342661395e-06
      2.2000257855754088e+00      2.4411015331331275e-06
      2.2000273214266137e+00     -1.9631449665256061e-06
      2.2000309830675397e+00     -2.1631403653607190e-06
      2.2000312830694537e+00      2.7910115210604492e-06
      2.2000349535581893e+00     -2.3738890177758671e-06
      2.2000372665990486e+00      3.1551110566411484e-06
      2.2000392483730336e+00     -2.5958227812259750e-06
      2.2000437687817604e+00      3.5359859829171921e-06
