============================================================
QNM Convergence Report
============================================================
Date: 2026-02-07 12:51:41
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 92
  General (Re!=0, Im!=0): 3
  Purely imaginary (Re~0): 87
  Purely real (Im~0): 2

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      1.1045493908041969e-01     -1.0489571708688096e-01
      8.6116907295361866e-02     -3.4805245485472375e-01
      7.5745858074640238e-02     -6.0107385046016237e-01

------------------------------------------------------------
Purely Real QNMs (Im ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
     2.8537692045013221e-203     -8.1047357461324035e-05
     2.7946086373920289e-202     -7.1170151075092054e-06

------------------------------------------------------------
Purely Imaginary QNMs (Re ~ 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)             Delta Im(omega)
     -4.2386242604349096e-60     -3.6118950254626775e+01      2.5002102564199902e-01
     -1.9145452021775109e-60     -3.6368971063279723e+01      2.5002080865294829e-01
      5.0611413715088309e-60     -3.6618991658656917e+01      2.5002059537719390e-01
      9.2788955811368506e-61     -3.6869012044398630e+01      2.5002038574171337e-01
     -5.4927291834271292e-60     -3.7119032224033070e+01      2.5002017963443990e-01
      5.6789137952172683e-61     -3.7369052200979830e+01      2.5001997694675993e-01
      5.1929417961532802e-60     -3.7619071978607870e+01      2.5001977762804017e-01
     -2.2140641696500649e-60     -3.7869091560253246e+01      2.5001958164537541e-01
     -3.9838316349718070e-60     -3.8119110949149245e+01      2.5001938889599984e-01
      3.4363195223874800e-60     -3.8369130148378730e+01      2.5001919922948446e-01
      2.0579923019834026e-60     -3.8619149160960518e+01      2.5001901258178805e-01
     -3.7006133436621545e-60     -3.8869167989967906e+01      2.5001882900738792e-01
     -2.1467584287011201e-62     -3.9119186638462303e+01      2.5001864849439670e-01
      2.8663812148487205e-60     -3.9369205109268862e+01      2.5001847080655892e-01
     -1.3667290578735230e-60     -3.9619223404943703e+01      2.5001829567484180e-01
     -1.3709301155275133e-60     -3.9869241528133166e+01      2.5001812318946293e-01
      1.6656148319454616e-60     -4.0119259481911293e+01      2.5001795377812641e-01
      6.4716683872800857e-63     -4.0369277269423392e+01      2.5001778751209969e-01
     -1.0732554394753074e-60     -4.0619294892945547e+01      2.5001762352215451e-01

