============================================================
QNM Convergence Report
============================================================
Date: 2026-02-14 18:04:11
Tolerance: 1.0e-04
Resolutions: 180, 190, 200
Note: only Re(ω) ≥ 0 shown (spectrum symmetric about imaginary axis)

------------------------------------------------------------
Summary
------------------------------------------------------------
Total converged QNMs: 423
  General (Re!=0, Im!=0): 87
  Purely imaginary (Re~0): 85
  Purely real (Im~0): 251

------------------------------------------------------------
General QNMs (Re != 0, Im != 0)
------------------------------------------------------------
                   Re(omega)                   Im(omega)
  ──────────────────────────  ──────────────────────────
      2.2062796579740125e+00      5.3511479950631136e-04
      2.2053124375274487e+00      4.2225035305528704e-04
      2.2045495048345840e+00      3.4074353112170799e-04
      2.2039352500144318e+00      2.8024202215848218e-04
      2.1990790476545352e+00     -1.0373581990471787e-04
      2.1990544961084608e+00     -1.0792855955878478e-04
      2.1990289540066548e+00     -1.1234979343633846e-04
      2.1990023675883865e+00     -1.1701526404843507e-04
      2.2027076298367234e+00     -1.1879637338993517e-04
      2.1989746794135376e+00     -1.2194203036526841e-04
      2.1989458280577878e+00     -1.2714859773814213e-04
      2.1989157477780901e+00     -1.3265506264616307e-04
      2.1988843681450985e+00     -1.3848327419305431e-04
      2.1988516136387801e+00     -1.4465701456063199e-04
      2.1998577115818958e+00     -1.4728617403459300e-04
      2.1988174032029688e+00     -1.5120220095233468e-04
      2.1987816497540513e+00     -1.5814711194093490e-04
      2.2028615378911245e+00     -1.5953741445366430e-04
      2.1987442596383473e+00     -1.6552264157901789e-04
      2.1987051320320057e+00     -1.7336258515075347e-04
      2.1986641582764062e+00     -1.8170396105307468e-04
      2.1986212211410687e+00     -1.9058737401068631e-04
      2.1985761940049722e+00     -2.0005742567299800e-04
      2.1985289399458652e+00     -2.1016317963713278e-04
      2.2030261115174019e+00     -2.1099632618553336e-04
      2.1984793107256646e+00     -2.2095868912002195e-04
      2.1984271456582780e+00     -2.3250359690133829e-04
      2.1983722703441551e+00     -2.4486381882298229e-04
      2.1983144952535008e+00     -2.5811232411562048e-04
      2.1982536141373048e+00     -2.7233002819677824e-04
      2.2032012974935751e+00     -2.7425897765841320e-04
      2.1998901776631237e+00     -2.8588369266578255e-04
      2.1981894022420931e+00     -2.8760681643263042e-04
      2.1981216143004816e+00     -3.0404272078143066e-04
      2.1980499822651289e+00     -3.2174927537034249e-04
      2.1979742127483708e+00     -3.4085108206119419e-04
      2.2033873227180005e+00     -3.5080393082141773e-04
      2.1978939841235552e+00     -3.6148762313698035e-04
      2.1978089432366530e+00     -3.8381536564424185e-04
      2.1977187016678985e+00     -4.0801021097761070e-04
      2.1976228314726649e+00     -4.3427035439792941e-04
      2.1975208603182246e+00     -4.6281963285064044e-04
      2.1974122659179627e+00     -4.9391145635547119e-04
      2.1972964696465329e+00     -5.2783343921651018e-04
      2.1971728291976689e+00     -5.6491287344140079e-04
      2.1970406301200507e+00     -6.0552321946708194e-04
      2.1968990760348190e+00     -6.5009183039723935e-04
      2.1967472772996608e+00     -6.9910917785461467e-04
      2.1965842378373828e+00     -7.5313991338038738e-04
      2.1964088397894890e+00     -8.1283618322077053e-04
      2.1962198255850707e+00     -8.7895372183592634e-04
      2.1960157769292108e+00     -9.5237138790564069e-04
      2.1957950901092618e+00     -1.0341149858764194e-03
      2.1955559468869992e+00     -1.1253864495643329e-03
      2.1952962800837850e+00     -1.2275997701918231e-03
      2.1950137327671326e+00     -1.3424254544262611e-03
      2.1947056097013324e+00     -1.4718458329072417e-03
      2.1943688194209190e+00     -1.6182242542237615e-03
      2.1939998049104599e+00     -1.7843921603257879e-03
